top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,top_blue_lane,top_blue_role,top_red_lane,top_red_role,jung_blue_lane,jung_blue_role,jung_red_lane,jung_red_role,mid_blue_lane,mid_blue_role,mid_red_lane,mid_red_role,ad_blue_lane,ad_blue_role,ad_red_lane,ad_red_role,support_blue_lane,support_blue_role,support_red_lane,support_red_role
Maokai,Akshan,Sylas,Gragas,Yasuo,Malzahar,Xayah,Kai'Sa,Rakan,Renata Glasc,6351.0,blue,0,-1.0,-1.0,1.0,-5.25,-2.0,6.5,0.25,top,Tank,top,Marksman,top,Mage,top,Fighter,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Maokai,Irelia,Kayn,Karthus,Rumble,Taliyah,Draven,Kalista,Zilean,Bard,1161.0,blue,0,-1.0,1.0,0.0,2.0,1.0,1.67,3.0,top,Tank,top,Fighter,top,Fighter,jungle,Mage,top,Fighter,jungle,Mage,adc,Marksman,adc,Marksman,mid,Support,support,Support
Maokai,Dr. Mundo,Kayn,Rammus,Vex,Pantheon,Jinx,Zeri,Pyke,Swain,954.0,blue,0,1.0,0.0,1.0,1.0,-1.5,-0.5,0.19999999999999996,top,Tank,top,Fighter,top,Fighter,jungle,Tank,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Support,top,Mage
Ornn,Camille,Pantheon,Kha'Zix,Lissandra,Malzahar,Varus,Jinx,Xerath,Braum,1591.0,red,-1,1.0,-1.0,0.0,-3.0,-3.25,0.32999999999999996,2.0,top,Tank,top,Fighter,top,Fighter,jungle,Assassin,mid,Mage,mid,Mage,mid,Marksman,adc,Marksman,mid,Mage,support,Support
Kayn,Darius,Diana,Poppy,Ahri,Zoe,Ezreal,Jinx,Bard,Thresh,-5655.0,red,0,1.0,1.0,-5.78,-16.2,-5.0,-0.5,-2.92,top,Fighter,top,Fighter,jungle,Fighter,top,Tank,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Pantheon,Riven,Bel'Veth,Viktor,Sylas,Maokai,Draven,Aphelios,Thresh,Rell,6183.0,red,2,-1.0,-1.0,0.0,5.5,2.5,0.0,1.33,top,Fighter,top,Fighter,jungle,Fighter,mid,Mage,top,Mage,top,Tank,adc,Marksman,adc,Marksman,support,Support,support,Tank
Camille,Gwen,Viego,Lee Sin,Lissandra,Ziggs,Lucian,Jinx,Nami,Milio,2813.0,blue,-1,-1.0,1.0,0.75,3.5,1.1300000000000001,9.6,9.6,top,Fighter,top,Fighter,jungle,Assassin,jungle,Fighter,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Shen,Riven,Kha'Zix,Master Yi,Ekko,Corki,Jinx,Ezreal,Karma,Zilean,9679.0,blue,2,-1.0,-3.0,2.33,5.75,3.5,10.4,8.0,top,Tank,top,Fighter,jungle,Assassin,jungle,Assassin,jungle,Assassin,mid,Marksman,adc,Marksman,adc,Marksman,support,Mage,mid,Support
Sett,Jayce,Viego,Wukong,Lux,Ziggs,Xayah,Aphelios,Rakan,Karma,-5608.0,red,0,0.0,2.0,0.0,-2.67,1.5,-1.17,-3.5,top,Fighter,top,Fighter,jungle,Assassin,top,Fighter,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Mage
Jax,Aatrox,Viego,Nidalee,Irelia,Viktor,Syndra,Jhin,Thresh,Yuumi,-2785.0,red,2,1.0,0.0,1.17,-6.0,-2.17,-4.0,-4.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Assassin,top,Fighter,mid,Mage,mid,Mage,adc,Marksman,support,Support,support,Support
Malphite,Sett,Ekko,Vi,Zed,LeBlanc,Ashe,Jinx,Xerath,Zilean,-2842.0,red,-2,2.0,0.0,0.0,-1.0,-6.0,1.0,-0.33000000000000007,top,Tank,top,Fighter,jungle,Assassin,jungle,Fighter,top,Assassin,mid,Assassin,adc,Marksman,adc,Marksman,mid,Mage,mid,Support
Yone,Nasus,Rengar,Wukong,Anivia,Katarina,Kai'Sa,Vayne,Thresh,Yuumi,2440.0,red,0,0.0,-1.0,-0.5,3.0,6.4,-6.0,-5.33,top,Assassin,top,Fighter,top,Assassin,top,Fighter,mid,Mage,mid,Assassin,adc,Marksman,top,Marksman,support,Support,support,Support
Jax,Fiora,Kha'Zix,Jarvan IV,Kassadin,Vladimir,Kog'Maw,Seraphine,Lulu,Shaco,-4135.0,red,-1,-2.0,0.0,-1.5,-6.0,-1.67,-4.0,-0.93,top,Fighter,top,Fighter,jungle,Assassin,jungle,Tank,mid,Assassin,top,Mage,adc,Marksman,adc,Mage,support,Support,jungle,Assassin
Darius,Nasus,Talon,Udyr,Annie,Vladimir,Ezreal,Twitch,Yuumi,Senna,-2851.0,red,-2,2.0,0.0,2.83,0.0,-0.5,2.5,0.0,top,Fighter,top,Fighter,jungle,Assassin,top,Fighter,mid,Mage,top,Mage,adc,Marksman,adc,Marksman,support,Support,support,Marksman
Fiora,Gwen,Qiyana,Lee Sin,Aurelion Sol,Zoe,Ezreal,Kai'Sa,Karma,Nautilus,-671.0,blue,0,2.0,0.0,2.0,0.0,-6.33,0.25,0.5,top,Fighter,top,Fighter,mid,Assassin,jungle,Fighter,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Mage,mid,Tank
Sejuani,Galio,Qiyana,Fiora,Yasuo,Xin Zhao,Kog'Maw,Aphelios,Lux,Lulu,-4805.0,red,0,1.0,2.0,-1.5,-9.67,-4.25,-2.67,-2.0,jungle,Tank,mid,Tank,mid,Assassin,top,Fighter,top,Fighter,jungle,Fighter,adc,Marksman,adc,Marksman,mid,Mage,support,Support
Singed,Zed,Rek'Sai,Kha'Zix,Lux,Sylas,Swain,Kai'Sa,Pyke,Nami,1516.0,red,1,1.0,-1.0,4.67,3.0,3.4499999999999997,0.5,-0.16999999999999993,top,Tank,top,Assassin,jungle,Fighter,jungle,Assassin,mid,Mage,top,Mage,top,Mage,adc,Marksman,support,Support,support,Support
Cho'Gath,Garen,Nidalee,Kha'Zix,Aurelion Sol,Ahri,Kai'Sa,Ezreal,Renata Glasc,Lux,-1702.0,blue,-1,1.0,0.0,-1.5,-1.5,-5.0,1.25,-4.5,top,Tank,top,Fighter,jungle,Assassin,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,mid,Mage
