top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,top_blue_lane,top_blue_role,top_red_lane,top_red_role,jung_blue_lane,jung_blue_role,jung_red_lane,jung_red_role,mid_blue_lane,mid_blue_role,mid_red_lane,mid_red_role,ad_blue_lane,ad_blue_role,ad_red_lane,ad_red_role,support_blue_lane,support_blue_role,support_red_lane,support_red_role
Wukong,Gangplank,Ekko,Sejuani,Viktor,Ahri,Jinx,Draven,Lulu,Leona,-4718.0,red,0,2.0,1.0,4.4,-2.0,-1.0,-2.5,-5.75,top,Fighter,top,Fighter,jungle,Assassin,jungle,Tank,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Tank
Jayce,Kennen,Kha'Zix,Jarvan IV,Syndra,Zed,Draven,Jinx,Nautilus,Milio,5408.0,blue,2,-1.0,0.0,0.5,6.33,2.25,0.0,-1.0,top,Fighter,top,Mage,jungle,Assassin,jungle,Tank,mid,Mage,top,Assassin,adc,Marksman,adc,Marksman,mid,Tank,support,Support
Sion,Syndra,Gragas,Viego,Talon,Bel'Veth,Ezreal,Jinx,Karma,Thresh,3981.0,blue,-2,-1.0,-1.0,-2.0,6.5,-0.9199999999999999,7.75,7.67,top,Tank,mid,Mage,top,Fighter,jungle,Assassin,jungle,Assassin,jungle,Fighter,adc,Marksman,adc,Marksman,support,Mage,support,Support
Shen,Gwen,Kha'Zix,Talon,Anivia,Corki,Xayah,Jinx,Lux,Shaco,13937.0,blue,1,-2.0,-4.0,2.0,6.75,3.0,6.67,9.0,top,Tank,top,Fighter,jungle,Assassin,jungle,Assassin,mid,Mage,mid,Marksman,adc,Marksman,adc,Marksman,mid,Mage,jungle,Assassin
Garen,Lissandra,Kayn,Viego,Pantheon,Darius,Ashe,Tristana,Leona,Blitzcrank,-1459.0,red,-2,1.0,0.0,-1.0,-3.0,1.08,1.8699999999999999,1.0,top,Fighter,mid,Mage,top,Fighter,jungle,Assassin,top,Fighter,top,Fighter,adc,Marksman,mid,Marksman,support,Tank,support,Tank
Syndra,Darius,Sejuani,Kayn,Irelia,Ahri,Xayah,Ezreal,Rakan,Karma,-3756.0,blue,1,-1.0,0.0,-1.5,2.0,-7.57,1.5,-2.5,mid,Mage,top,Fighter,jungle,Tank,top,Fighter,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Mage
Teemo,Ornn,Kindred,Kha'Zix,Akshan,Gragas,Ezreal,Aphelios,Pyke,Karma,10666.0,blue,2,-1.0,-3.0,5.0,3.4,-2.3,2.87,2.5,top,Marksman,top,Tank,jungle,Marksman,jungle,Assassin,top,Marksman,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Mage
Tryndamere,Pantheon,Vi,Bel'Veth,Kog'Maw,Varus,Ezreal,Tristana,Blitzcrank,Katarina,-11026.0,red,-2,1.0,1.0,-1.25,-1.5,-5.38,-12.71,-0.8799999999999999,top,Fighter,top,Fighter,jungle,Fighter,jungle,Fighter,adc,Marksman,mid,Marksman,adc,Marksman,mid,Marksman,support,Tank,mid,Assassin
Gwen,Irelia,Ekko,Rek'Sai,Yasuo,Lissandra,Xayah,Aphelios,Thresh,Rakan,-1850.0,red,0,-1.0,2.0,-0.32999999999999996,3.0,-2.0,3.0,3.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Fighter,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Gragas,Renekton,Jarvan IV,Wukong,Annie,Akali,Ezreal,Nilah,Thresh,Taric,-227.0,red,-1,0.0,0.0,0.0,-1.5,-0.6699999999999999,-1.0,-1.5,top,Fighter,top,Fighter,jungle,Tank,top,Fighter,mid,Mage,top,Assassin,adc,Marksman,adc,Fighter,support,Support,support,Support
Jax,Singed,Wukong,Kha'Zix,Xerath,Bel'Veth,Karthus,Nilah,Rakan,Rell,-209.0,red,0,2.0,0.0,0.0,4.0,2.0,-3.75,5.0,top,Fighter,top,Tank,top,Fighter,jungle,Assassin,mid,Mage,jungle,Fighter,jungle,Mage,adc,Fighter,support,Support,support,Tank
Camille,Rengar,Lee Sin,Gragas,Cho'Gath,Pantheon,Caitlyn,Zeri,Thresh,Janna,3834.0,blue,2,-2.0,0.0,-1.5,4.0,1.0,4.0,3.5,top,Fighter,top,Assassin,jungle,Fighter,top,Fighter,top,Tank,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support
Singed,Riven,Kindred,Nautilus,Lux,Ahri,Aphelios,Jinx,Thresh,Fiddlesticks,-5053.0,red,0,-1.0,1.0,0.75,-5.25,-6.0,-13.2,-5.0,top,Tank,top,Fighter,jungle,Marksman,mid,Tank,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,jungle,Mage
Ornn,Gangplank,Kindred,Graves,Orianna,Sylas,Varus,Caitlyn,Alistar,Soraka,-10815.0,red,0,2.0,1.0,-3.0,-10.0,-8.0,-6.0,-8.0,top,Tank,top,Fighter,jungle,Marksman,jungle,Marksman,mid,Mage,top,Mage,mid,Marksman,adc,Marksman,support,Tank,support,Support
Olaf,Kai'Sa,Nocturne,Warwick,Sylas,Nasus,Aphelios,Jinx,Rakan,Milio,7900.0,blue,1,-1.0,-3.0,0.9199999999999999,5.5,4.0,3.5,4.67,top,Fighter,adc,Marksman,jungle,Assassin,top,Fighter,top,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support
Sion,Ornn,Elise,Viego,Rumble,Yasuo,Jinx,Veigar,Milio,Alistar,5445.0,blue,0,-1.0,0.0,1.0,2.25,7.67,4.0,2.25,top,Tank,top,Tank,jungle,Mage,jungle,Assassin,top,Fighter,top,Fighter,adc,Marksman,mid,Mage,support,Support,support,Tank
K'Sante,Riven,Taliyah,Sylas,Yasuo,Orianna,Samira,Vayne,Leona,Morgana,1683.0,blue,2,1.0,-1.0,1.5,1.0,0.41999999999999993,-3.0,-6.25,top,Tank,top,Fighter,jungle,Mage,top,Mage,top,Fighter,mid,Mage,adc,Marksman,top,Marksman,support,Tank,support,Mage
Riven,Fiora,Lillia,Lee Sin,Akshan,Kog'Maw,Karthus,Heimerdinger,Xerath,Sona,-1682.0,blue,-2,-2.0,0.0,0.9999999999999999,-2.0,-0.33000000000000007,1.33,2.0,top,Fighter,top,Fighter,jungle,Fighter,jungle,Fighter,top,Marksman,adc,Marksman,jungle,Mage,support,Mage,mid,Mage,support,Support
Zilean,K'Sante,Nunu & Willump,Hecarim,Pyke,Azir,Kai'Sa,Samira,Aatrox,Leona,-2449.0,red,-2,0.0,0.0,2.5,-2.0,-6.0,-0.6699999999999999,-1.5,mid,Support,top,Tank,jungle,Tank,jungle,Fighter,support,Support,mid,Mage,adc,Marksman,adc,Marksman,top,Fighter,support,Tank
Renekton,Rumble,Poppy,Jarvan IV,Viktor,Neeko,Kai'Sa,Xayah,Blitzcrank,Rakan,3276.0,blue,-2,-1.0,-1.0,0.20000000000000007,-3.33,-1.17,3.5,2.9,top,Fighter,top,Fighter,top,Tank,jungle,Tank,mid,Mage,jungle,Mage,adc,Marksman,adc,Marksman,support,Tank,support,Support
Illaoi,Aatrox,Kha'Zix,Sejuani,Qiyana,Zed,Jinx,Ezreal,Rakan,Yuumi,2552.0,blue,0,-2.0,1.0,1.67,6.5,3.5,2.0,6.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Tank,mid,Assassin,top,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Support
Maokai,Dr. Mundo,Udyr,Gragas,Qiyana,Garen,Seraphine,Jhin,Xerath,Blitzcrank,-3089.0,red,-1,-1.0,2.0,0.83,3.0,-1.25,0.25,1.5,top,Tank,top,Fighter,top,Fighter,top,Fighter,mid,Assassin,top,Fighter,adc,Mage,adc,Marksman,mid,Mage,support,Tank
Zed,Quinn,Shaco,Hecarim,Yasuo,Kassadin,Varus,Ezreal,Lux,Pyke,4419.0,blue,0,-1.0,-1.0,1.5,11.0,2.33,3.25,-0.44999999999999996,top,Assassin,top,Marksman,jungle,Assassin,jungle,Fighter,top,Fighter,mid,Assassin,mid,Marksman,adc,Marksman,mid,Mage,support,Support
Sion,Poppy,Shaco,Karthus,Ahri,Vex,Xayah,Ezreal,Rakan,Lux,6393.0,blue,2,1.0,0.0,4.8,14.2,9.33,-1.5,11.33,top,Tank,top,Tank,jungle,Assassin,jungle,Mage,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,mid,Mage
Ornn,Kennen,Kha'Zix,Kindred,Akali,Galio,Aphelios,Ezreal,Nautilus,Karma,1149.0,blue,2,-2.0,-1.0,1.5,4.0,3.25,0.41999999999999993,-0.25,top,Tank,top,Mage,jungle,Assassin,jungle,Marksman,top,Assassin,mid,Tank,adc,Marksman,adc,Marksman,mid,Tank,support,Mage
Gragas,Graves,Hecarim,Viego,Fizz,Katarina,Ezreal,Jinx,Thresh,Milio,235.0,red,0,1.0,0.0,-0.6,-1.75,1.0,3.0,4.33,top,Fighter,jungle,Marksman,jungle,Fighter,jungle,Assassin,mid,Assassin,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Support
Malphite,Jayce,Warwick,Sylas,Veigar,Kennen,Ezreal,Samira,Lulu,Rakan,-8729.0,red,-2,1.0,1.0,0.65,-9.8,-7.5,-2.5,-4.5,top,Tank,top,Fighter,top,Fighter,top,Mage,mid,Mage,top,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Sion,Garen,Nidalee,Xin Zhao,Tristana,Kai'Sa,Ezreal,Aphelios,Karma,Thresh,12540.0,blue,2,-1.0,-5.0,-1.0,2.0,3.0,13.4,6.12,top,Tank,top,Fighter,jungle,Assassin,jungle,Fighter,mid,Marksman,adc,Marksman,adc,Marksman,adc,Marksman,support,Mage,support,Support
Bel'Veth,Gnar,Vi,Zac,Syndra,Lux,Twitch,Caitlyn,Karma,Milio,6797.0,blue,-1,-2.0,-1.0,0.6699999999999999,5.67,2.5,4.0,6.0,jungle,Fighter,top,Fighter,jungle,Fighter,top,Tank,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Mage,support,Support
Malphite,Sett,Graves,Nocturne,LeBlanc,Galio,Varus,Aphelios,Thresh,Pyke,-4519.0,red,0,2.0,1.0,0.34,-2.33,1.0,-1.8699999999999999,-4.1,top,Tank,top,Fighter,jungle,Marksman,jungle,Assassin,mid,Assassin,mid,Tank,mid,Marksman,adc,Marksman,support,Support,support,Support
Malphite,Singed,Taliyah,Gragas,Viktor,Yasuo,Jinx,Ezreal,Blitzcrank,Braum,-1585.0,blue,2,1.0,0.0,4.4,1.17,6.67,-2.0,-2.5,top,Tank,top,Tank,jungle,Mage,top,Fighter,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Tank,support,Support
K'Sante,Gwen,Kindred,Lee Sin,Rumble,Annie,Ezreal,Xayah,Nautilus,Rakan,-6843.0,red,-2,-1.0,1.0,-1.5,-5.17,-1.0,-4.0,-10.33,top,Tank,top,Fighter,jungle,Marksman,jungle,Fighter,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,mid,Tank,support,Support
Trundle,Gnar,Xin Zhao,Udyr,Gragas,Katarina,Zeri,Kayle,Yuumi,Rell,-5466.0,red,0,1.0,1.0,-4.75,-1.67,-2.75,-1.5,-1.0,top,Fighter,top,Fighter,jungle,Fighter,top,Fighter,top,Fighter,mid,Assassin,adc,Marksman,top,Fighter,support,Support,support,Tank
K'Sante,Kayle,Kha'Zix,Rengar,Mordekaiser,Yasuo,Sivir,Samira,Zyra,Amumu,4340.0,red,2,-2.0,-1.0,0.0,-1.0,4.33,3.5,5.0,top,Tank,top,Fighter,jungle,Assassin,top,Assassin,top,Fighter,top,Fighter,adc,Marksman,adc,Marksman,support,Mage,jungle,Tank
Riven,Tryndamere,Nidalee,Kindred,Galio,Ahri,Ezreal,Aphelios,Braum,Nautilus,-6570.0,red,-2,1.0,1.0,0.0,-4.0,-3.0,-3.67,-1.42,top,Fighter,top,Fighter,jungle,Assassin,jungle,Marksman,mid,Tank,mid,Mage,adc,Marksman,adc,Marksman,support,Support,mid,Tank
Jayce,Aatrox,Warwick,Wukong,Sylas,Annie,Jinx,Caitlyn,Lux,Ashe,5129.0,blue,2,2.0,-1.0,1.6,1.42,-1.75,1.75,1.5,top,Fighter,top,Fighter,top,Fighter,top,Fighter,top,Mage,mid,Mage,adc,Marksman,adc,Marksman,mid,Mage,adc,Marksman
Yone,Lillia,Bel'Veth,Gragas,Veigar,Jayce,Zeri,Jinx,Thresh,Braum,1146.0,blue,0,1.0,0.0,6.4,6.0,1.2,-3.0,-1.33,top,Assassin,jungle,Fighter,jungle,Fighter,top,Fighter,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support
Malphite,K'Sante,Hecarim,Nunu & Willump,Yasuo,Azir,Kai'Sa,Caitlyn,Lulu,Miss Fortune,4703.0,blue,0,-2.0,-1.0,-1.5,3.5,4.67,2.17,1.0,top,Tank,top,Tank,jungle,Fighter,jungle,Tank,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Support,adc,Marksman
Tristana,Malphite,Zac,Lissandra,Ornn,Camille,Zilean,Wukong,Jinx,Thresh,7832.0,blue,2,0.0,-2.0,4.0,11.25,10.0,6.5,5.0,mid,Marksman,top,Tank,top,Tank,mid,Mage,top,Tank,top,Fighter,mid,Support,top,Fighter,adc,Marksman,support,Support
Riven,Nasus,Wukong,Gragas,Viktor,Aphelios,Xayah,Cho'Gath,Vex,Nautilus,901.0,blue,-2,-1.0,0.0,-1.33,4.67,-3.0,1.73,6.0,top,Fighter,top,Fighter,top,Fighter,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,top,Tank,mid,Mage,mid,Tank
Fiora,Rengar,Talon,Sylas,Singed,Vel'Koz,Lucian,Ezreal,Seraphine,Milio,461.0,red,0,1.0,1.0,-1.2,1.17,5.2,-1.83,-0.75,top,Fighter,top,Assassin,jungle,Assassin,top,Mage,top,Tank,mid,Mage,adc,Marksman,adc,Marksman,adc,Mage,support,Support
Aatrox,Ornn,Nidalee,Shaco,Viktor,Azir,Twitch,Kai'Sa,Kog'Maw,Taliyah,-1568.0,red,0,2.0,0.0,2.0,-7.33,-2.33,-6.25,-1.33,top,Fighter,top,Tank,jungle,Assassin,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,adc,Marksman,jungle,Mage
Tryndamere,Malphite,Gragas,Nunu & Willump,Pantheon,Katarina,Samira,Jinx,Nautilus,Lulu,1914.0,blue,0,0.0,0.0,0.0,7.0,-0.30000000000000004,0.6699999999999999,2.34,top,Fighter,top,Tank,top,Fighter,jungle,Tank,top,Fighter,mid,Assassin,adc,Marksman,adc,Marksman,mid,Tank,support,Support
Renekton,Talon,Graves,Kayn,Lee Sin,Aurelion Sol,Ziggs,Kalista,Zyra,Blitzcrank,4575.0,red,2,1.0,-1.0,1.5,7.0,0.5,0.8300000000000001,0.0,top,Fighter,jungle,Assassin,jungle,Marksman,top,Fighter,jungle,Fighter,mid,Mage,mid,Mage,adc,Marksman,support,Mage,support,Tank
Riven,Yuumi,Diana,Xin Zhao,Talon,Lux,Ashe,Renekton,Thresh,Zeri,-10023.0,red,-1,1.0,3.0,-3.33,-4.33,-4.0,-4.0,-2.5,top,Fighter,support,Support,jungle,Fighter,jungle,Fighter,jungle,Assassin,mid,Mage,adc,Marksman,top,Fighter,support,Support,adc,Marksman
Darius,Rammus,Ekko,Kindred,Zed,Galio,Twitch,Zeri,Senna,Zyra,2785.0,blue,1,0.0,0.0,2.0,5.75,3.67,-3.67,-1.67,top,Fighter,jungle,Tank,jungle,Assassin,jungle,Marksman,top,Assassin,mid,Tank,adc,Marksman,adc,Marksman,support,Marksman,support,Mage
Shen,Vayne,Nocturne,Pantheon,Sivir,Akshan,Yuumi,Volibear,Diana,Malphite,9220.0,blue,2,-2.0,-2.0,2.0,5.33,4.75,4.0,7.0,top,Tank,top,Marksman,jungle,Assassin,top,Fighter,adc,Marksman,top,Marksman,support,Support,top,Fighter,jungle,Fighter,top,Tank
Jax,Vladimir,Poppy,Jarvan IV,Ahri,Irelia,Jinx,Cassiopeia,Milio,Annie,-11366.0,red,0,0.0,1.0,-6.6,-5.33,-1.5,-6.0,-7.0,top,Fighter,top,Mage,top,Tank,jungle,Tank,mid,Mage,top,Fighter,adc,Marksman,top,Mage,support,Support,mid,Mage
K'Sante,Sett,Wukong,Udyr,Veigar,Kassadin,Draven,Jinx,Nautilus,Lulu,4774.0,blue,0,2.0,0.0,1.2,7.67,-1.0,-0.75,0.5,top,Tank,top,Fighter,top,Fighter,top,Fighter,mid,Mage,mid,Assassin,adc,Marksman,adc,Marksman,mid,Tank,support,Support
Malphite,Sylas,Diana,Shaco,Yasuo,Irelia,Aphelios,Karthus,Thresh,Bard,146.0,red,-1,0.0,0.0,-0.5800000000000001,1.0,1.0,-8.4,0.5,top,Tank,top,Mage,jungle,Fighter,jungle,Assassin,top,Fighter,top,Fighter,adc,Marksman,jungle,Mage,support,Support,support,Support
Mordekaiser,Riven,Taliyah,Graves,Jayce,Ahri,Ashe,Xayah,Thresh,Blitzcrank,1364.0,blue,2,-2.0,1.0,-7.75,3.33,-1.5,3.6,2.75,top,Fighter,top,Fighter,jungle,Mage,jungle,Marksman,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Tank
Pantheon,Gnar,Graves,Kayn,Fizz,Lissandra,Ezreal,Kai'Sa,Soraka,Zilean,-2616.0,red,0,1.0,-1.0,-2.0,3.75,-0.33000000000000007,1.17,-1.0,top,Fighter,top,Fighter,jungle,Marksman,top,Fighter,mid,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Support,mid,Support
Jayce,Gragas,Samira,Bel'Veth,Warwick,Orianna,Rakan,Jinx,Malzahar,Thresh,-3871.0,red,0,1.0,0.0,-3.0,-6.0,-5.5,-3.33,-2.83,top,Fighter,top,Fighter,adc,Marksman,jungle,Fighter,top,Fighter,mid,Mage,support,Support,adc,Marksman,mid,Mage,support,Support
Malphite,Jayce,Gragas,Viego,Lucian,Akali,Vayne,Samira,Annie,Nautilus,-2726.0,blue,0,-2.0,0.0,2.33,1.83,1.5,-0.16999999999999993,-0.04999999999999982,top,Tank,top,Fighter,top,Fighter,jungle,Assassin,adc,Marksman,top,Assassin,top,Marksman,adc,Marksman,mid,Mage,mid,Tank
Akshan,Kennen,Gragas,Kayn,Teemo,Yasuo,Lucian,Ezreal,Nami,Yuumi,4743.0,blue,-1,1.0,0.0,4.0,8.33,2.0,0.5,1.25,top,Marksman,top,Mage,top,Fighter,top,Fighter,top,Marksman,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support
Jax,Gwen,Ekko,Bel'Veth,Ahri,Viktor,Miss Fortune,Caitlyn,Alistar,Janna,4446.0,blue,2,1.0,-2.0,7.0,0.6699999999999999,5.0,0.0,-1.5,top,Fighter,top,Fighter,jungle,Assassin,jungle,Fighter,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Tank,support,Support
Sejuani,Garen,Rengar,Hecarim,Cassiopeia,Jinx,Kog'Maw,Ahri,Lulu,Yuumi,-5266.0,red,-2,-1.0,0.0,-3.5,2.0,-3.33,-2.25,-4.5,jungle,Tank,top,Fighter,top,Assassin,jungle,Fighter,top,Mage,adc,Marksman,adc,Marksman,mid,Mage,support,Support,support,Support
Dr. Mundo,Kayle,Bel'Veth,Rengar,Volibear,Kassadin,Nilah,Lulu,Renata Glasc,Ashe,614.0,blue,2,-2.0,-2.0,-0.5,0.5,5.75,-1.25,-3.75,top,Fighter,top,Fighter,jungle,Fighter,top,Assassin,top,Fighter,mid,Assassin,adc,Fighter,support,Support,support,Support,adc,Marksman
Cho'Gath,Jayce,Master Yi,Kha'Zix,Zed,Lux,Ziggs,Jinx,Leona,Braum,-13473.0,red,-1,2.0,3.0,-1.5,-7.0,-5.33,-9.0,-8.0,top,Tank,top,Fighter,jungle,Assassin,jungle,Assassin,top,Assassin,mid,Mage,mid,Mage,adc,Marksman,support,Tank,support,Support
Irelia,Garen,Lillia,Rammus,Viktor,Kassadin,Tristana,Jinx,Sona,Lux,1097.0,blue,0,0.0,-1.0,-6.8,1.67,2.0,0.0,2.33,top,Fighter,top,Fighter,jungle,Fighter,jungle,Tank,mid,Mage,mid,Assassin,mid,Marksman,adc,Marksman,support,Support,mid,Mage
Maokai,Darius,Talon,Nidalee,Viktor,Lissandra,Jinx,Aphelios,Morgana,Thresh,-9771.0,red,-1,1.0,1.0,-4.0,-5.0,-3.67,-3.5,-3.0,top,Tank,top,Fighter,jungle,Assassin,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Mage,support,Support
Illaoi,Riven,Lee Sin,Maokai,Aurelion Sol,LeBlanc,Caitlyn,Kai'Sa,Lux,Rammus,-602.0,blue,0,-1.0,0.0,-1.17,4.75,3.0,6.5,-0.06999999999999984,top,Fighter,top,Fighter,jungle,Fighter,top,Tank,mid,Mage,mid,Assassin,adc,Marksman,adc,Marksman,mid,Mage,jungle,Tank
Volibear,Gragas,Karthus,Fiddlesticks,Rengar,Aurelion Sol,Nilah,Ezreal,Pyke,Soraka,-1761.0,red,0,0.0,1.0,3.0,-1.0,-1.5,-11.0,-0.3999999999999999,top,Fighter,top,Fighter,jungle,Mage,jungle,Mage,top,Assassin,mid,Mage,adc,Fighter,adc,Marksman,support,Support,support,Support
Renekton,Sett,Bel'Veth,Darius,Sylas,LeBlanc,Xayah,Teemo,Leona,Vayne,4612.0,blue,0,-1.0,0.0,1.25,1.17,-0.67,5.67,-3.0,top,Fighter,top,Fighter,jungle,Fighter,top,Fighter,top,Mage,mid,Assassin,adc,Marksman,top,Marksman,support,Tank,top,Marksman
Sivir,Singed,Gangplank,Akshan,Syndra,Fizz,Graves,Thresh,Rakan,Kai'Sa,494.0,blue,0,0.0,0.0,0.33000000000000007,0.0,-6.8,0.0,0.0,adc,Marksman,top,Tank,top,Fighter,top,Marksman,mid,Mage,mid,Assassin,jungle,Marksman,support,Support,support,Support,adc,Marksman
Akali,Malphite,Vi,Rek'Sai,Irelia,Twisted Fate,Jinx,Caitlyn,Blitzcrank,Twitch,-212.0,red,2,1.0,-1.0,0.0,-3.0,-3.86,2.0,0.0,top,Assassin,top,Tank,jungle,Fighter,jungle,Fighter,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Tank,adc,Marksman
Yone,Shyvana,Zac,Karthus,Gnar,Cho'Gath,Seraphine,Malphite,Soraka,Ashe,1807.0,blue,2,0.0,-1.0,4.0,-4.0,-1.0,-1.0,-1.83,top,Assassin,jungle,Fighter,top,Tank,jungle,Mage,top,Fighter,top,Tank,adc,Mage,top,Tank,support,Support,adc,Marksman
Xayah,Darius,Kha'Zix,Ekko,Senna,Yasuo,Ahri,Aphelios,Trundle,Lulu,-4063.0,red,-2,-1.0,2.0,-4.0,-5.5,-0.16999999999999993,-2.5,-2.17,adc,Marksman,top,Fighter,jungle,Assassin,jungle,Assassin,support,Marksman,top,Fighter,mid,Mage,adc,Marksman,top,Fighter,support,Support
Cho'Gath,Nasus,Rengar,Poppy,Yasuo,Akali,Varus,Zeri,Morgana,Xerath,-1836.0,red,0,1.0,0.0,2.0,-2.0,0.5,-5.75,-6.75,top,Tank,top,Fighter,top,Assassin,top,Tank,top,Fighter,top,Assassin,mid,Marksman,adc,Marksman,support,Mage,mid,Mage
Kayn,Cho'Gath,Lissandra,Nocturne,Samira,Zoe,Ornn,Vayne,Sett,Alistar,-6731.0,red,-1,2.0,1.0,-9.33,-7.0,-2.87,-1.0,-5.0,top,Fighter,top,Tank,mid,Mage,jungle,Assassin,adc,Marksman,mid,Mage,top,Tank,top,Marksman,top,Fighter,support,Tank
Sion,Jayce,Xin Zhao,Nocturne,Kayle,Gragas,Nilah,Vel'Koz,Thresh,Ezreal,6685.0,blue,2,-1.0,0.0,1.0,3.33,1.0,1.0,1.0,top,Tank,top,Fighter,jungle,Fighter,jungle,Assassin,top,Fighter,top,Fighter,adc,Fighter,mid,Mage,support,Support,adc,Marksman
Tryndamere,Sion,Ekko,Kha'Zix,Aurelion Sol,Fizz,Zeri,Jhin,Soraka,Karma,2693.0,blue,2,-2.0,-1.0,4.0,-1.0,-0.6699999999999999,-1.25,-0.16999999999999993,top,Fighter,top,Tank,jungle,Assassin,jungle,Assassin,mid,Mage,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Mage
Rengar,Sion,Viego,Kindred,Vladimir,Sylas,Jinx,Xayah,Rakan,Renata Glasc,2983.0,blue,0,0.0,-1.0,9.75,0.0,3.33,0.0,6.0,top,Assassin,top,Tank,jungle,Assassin,jungle,Marksman,top,Mage,top,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Zed,Ornn,Graves,Vi,Irelia,Vladimir,Karthus,Kai'Sa,Lux,Nautilus,3456.0,blue,-1,-1.0,0.0,1.67,-8.0,-6.33,1.25,4.29,top,Assassin,top,Tank,jungle,Marksman,jungle,Fighter,top,Fighter,top,Mage,jungle,Mage,adc,Marksman,mid,Mage,mid,Tank
K'Sante,Galio,Syndra,Jinx,Wukong,Jarvan IV,Aphelios,Gwen,Thresh,Lulu,514.0,red,-2,1.0,0.0,-0.5,0.5,-3.75,0.6699999999999999,1.58,top,Tank,mid,Tank,mid,Mage,adc,Marksman,top,Fighter,jungle,Tank,adc,Marksman,top,Fighter,support,Support,support,Support
Kennen,Vayne,Poppy,Lillia,Pantheon,Viktor,Ezreal,Gnar,Syndra,Soraka,3579.0,red,0,-1.0,-1.0,-0.83,2.5,7.67,0.6699999999999999,0.5,top,Mage,top,Marksman,top,Tank,jungle,Fighter,top,Fighter,mid,Mage,adc,Marksman,top,Fighter,mid,Mage,support,Support
K'Sante,Jayce,Kha'Zix,Lee Sin,Ahri,Zoe,Aphelios,Xayah,Thresh,Rakan,-6191.0,red,-2,0.0,2.0,1.0,-1.0,-3.0,-3.5,-5.67,top,Tank,top,Fighter,jungle,Assassin,jungle,Fighter,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support
Tryndamere,Sion,Elise,Kha'Zix,Galio,Diana,Jinx,Ezreal,Soraka,Bard,5084.0,blue,1,1.0,-2.0,1.5,5.0,0.08000000000000007,4.0,2.33,top,Fighter,top,Tank,jungle,Mage,jungle,Assassin,mid,Tank,jungle,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support
Jarvan IV,Camille,Lillia,Yorick,Jayce,Kog'Maw,Kai'Sa,Ezreal,Janna,Lux,-2581.0,red,2,2.0,-1.0,4.0,4.0,0.5,-3.2,-2.5,jungle,Tank,top,Fighter,jungle,Fighter,top,Fighter,top,Fighter,adc,Marksman,adc,Marksman,adc,Marksman,support,Support,mid,Mage
Sion,Malphite,Elise,Rek'Sai,Viktor,Rumble,Zeri,Jinx,Janna,Thresh,4571.0,blue,2,2.0,-2.0,4.0,4.0,-2.0,0.0,-1.67,top,Tank,top,Tank,jungle,Mage,jungle,Fighter,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support
Gragas,Jax,Hecarim,Sejuani,Akali,Katarina,Zeri,Ezreal,Seraphine,Qiyana,-1769.0,red,2,0.0,0.0,-2.0,-0.33000000000000007,0.33000000000000007,-4.25,4.33,top,Fighter,top,Fighter,jungle,Fighter,jungle,Tank,top,Assassin,mid,Assassin,adc,Marksman,adc,Marksman,adc,Mage,mid,Assassin
