,sequence_number,gold_difference,team_win,herald_difference,dragon_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
657,658,1491.0,1,0,1.0,1.0,-6.5,-5.0,1.75,1.0,2.0,1.0
658,659,9480.0,1,0,-1.0,-1.58,2.75,-0.4000000000000001,0.7000000000000002,4.33,0.0,0.0
659,660,1147.0,0,0,-1.0,1.0,4.5,11.67,10.25,-1.75,-1.0,0.0
660,661,2693.0,1,2,-1.0,0.0,6.25,0.6699999999999999,-1.0,-3.0,-2.0,1.0
661,662,-1725.0,0,2,0.0,1.0,-0.25,3.0,-3.67,-3.5,0.0,0.0
662,663,3306.0,1,2,1.0,0.5,6.0,0.0,1.0,3.25,1.0,0.0
663,664,-62.0,0,-2,-1.0,1.33,6.67,7.6,-8.0,-0.8699999999999999,1.0,1.0
664,665,2965.0,0,0,-1.0,3.5,8.4,6.67,-3.5,-3.0,0.0,1.0
665,666,-7569.0,0,0,2.0,-5.0,-2.0,-6.5,-3.5,-4.5,2.0,1.0
666,667,-1836.0,0,0,-1.0,-2.0,2.67,-1.0,1.0,4.25,-4.0,-2.0
667,668,3193.0,1,2,-1.0,0.25,-3.67,-2.33,5.83,12.33,2.0,1.0
668,669,4970.0,0,2,-1.0,5.75,2.5,1.0,1.0,5.67,1.0,1.0
669,670,-58.0,0,2,2.0,0.5800000000000001,4.0,0.5,1.0,2.0,0.0,1.0
670,671,-4452.0,0,0,0.0,-5.5,-5.2,0.0,0.0,1.5,1.0,1.0
671,672,182.0,0,0,1.0,5.0,3.0,1.0,2.0,1.0,0.0,0.0
672,673,2364.0,1,2,1.0,-4.0,-5.33,3.0,-2.0,1.0,-1.0,-2.0
673,674,7389.0,1,2,1.0,3.67,3.5,6.0,2.0,-0.33,2.0,-1.0
674,675,-2563.0,1,0,1.0,-4.67,-6.0,-3.6,6.0,2.5,1.0,-1.0
675,676,1184.0,0,-2,1.0,-4.0,6.0,2.37,6.33,8.5,1.0,1.0
676,677,-8917.0,0,1,1.0,0.0,-6.4,-4.5,-6.0,-4.17,-1.0,0.0
677,678,2919.0,1,1,-1.0,2.75,3.67,-1.0,1.0,0.0,-2.0,0.0
678,679,1365.0,1,2,-2.0,6.0,-3.0,0.0,-3.0,-3.5,0.0,2.0
679,680,3670.0,0,0,-1.0,-2.0,2.25,-5.0,6.33,8.25,-1.0,0.0
680,681,8056.0,1,2,0.0,3.6,3.0,-0.5,8.67,6.0,1.0,1.0
681,682,1388.0,0,0,-2.0,-3.67,4.0,2.0,11.75,8.75,-1.0,-2.0
682,683,701.0,0,-1,1.0,1.33,-1.5,2.0,-2.0,4.0,0.0,0.0
683,684,-3660.0,0,0,1.0,-2.39,-1.0,-2.1,0.0,3.0,-1.0,0.0
684,685,5641.0,1,-1,-1.0,-0.5,0.5,0.4199999999999999,5.75,3.0,0.0,0.0
685,686,1331.0,1,2,1.0,0.0,-2.5,-2.0,-4.33,-3.0,1.0,-1.0
686,687,-826.0,0,2,0.0,-0.6699999999999999,-0.5,-3.0,0.8300000000000001,0.25,1.0,0.0
687,688,12721.0,1,1,-2.0,5.71,2.67,5.0,4.7,3.75,0.0,-1.0
688,689,2785.0,0,0,0.0,-3.0,5.0,5.5,7.0,1.67,1.0,-1.0
689,690,-2587.0,0,0,0.0,-1.0,-0.5,6.33,-3.5,3.5,-3.0,0.0
690,691,2712.0,0,2,1.0,0.0,0.5,3.33,4.17,3.0,4.0,2.0
691,692,-8915.0,0,-1,1.0,-3.5,-7.33,-3.0,-2.5,-2.0,0.0,0.0
692,693,-31.0,1,2,1.0,7.5,2.67,5.0,-0.5,-8.75,-1.0,0.0
693,694,-448.0,1,2,0.0,1.08,2.0,2.5,-3.5,-3.08,-3.0,-1.0
694,695,7563.0,1,0,1.0,-3.67,5.0,2.0,4.0,3.5,0.0,0.0
695,696,1067.0,0,0,-1.0,-4.67,1.0,0.6699999999999999,7.0,5.33,-1.0,2.0
696,697,-1718.0,0,0,0.0,-2.5,3.5,1.0,-1.0,-1.5,-1.0,0.0
697,698,-4007.0,0,1,2.0,-1.5,-8.0,-2.0,-1.0,-1.0,-1.0,0.0
698,699,7016.0,1,-1,-1.0,0.0,-1.0,2.67,5.38,6.17,1.0,0.0
699,700,5010.0,1,2,-1.0,1.83,-0.6699999999999999,6.0,-0.2299999999999999,2.8,-3.0,-2.0
700,701,-7591.0,0,-2,2.0,-9.0,-1.67,-2.1,-3.2,-3.0,-1.0,1.0
701,702,-1019.0,1,-1,1.0,0.5,1.0,3.0,-7.0,-0.6600000000000001,0.0,0.0
702,703,-4864.0,0,-1,0.0,-7.8,-3.0,-3.0,6.75,1.17,2.0,-1.0
703,704,-10086.0,1,-2,1.0,-4.75,-7.67,-1.0,-2.0,-3.5,1.0,1.0
704,705,-674.0,0,0,1.0,2.5,-1.0,-2.0,-0.6699999999999999,-2.25,0.0,-1.0
705,706,-3706.0,1,2,-1.0,2.5,-0.3999999999999999,1.17,-2.73,-8.25,1.0,1.0
706,707,-10014.0,0,-1,0.0,-3.67,-2.35,-4.0,-4.0,-13.62,0.0,1.0
707,708,-240.0,1,0,1.0,-1.33,-0.6699999999999999,-3.5,-1.8,1.0,-3.0,0.0
708,709,-1641.0,0,-2,-1.0,-5.75,6.33,1.75,0.6699999999999999,1.83,2.0,-2.0
709,710,3944.0,1,2,-1.0,3.0,7.0,4.33,-0.25,6.0,-1.0,-1.0
710,711,-3709.0,0,-2,2.0,0.8699999999999999,-13.25,1.5,-11.4,-8.5,0.0,-1.0
711,712,-4879.0,0,0,2.0,0.0,-1.5,-1.0,-7.75,0.0,1.0,0.0
712,713,2115.0,1,2,2.0,1.5,-5.0,-3.0,-2.17,-2.0,0.0,0.0
713,714,-5106.0,1,0,2.0,1.5,-6.5,0.75,0.0,-2.5,1.0,1.0
714,715,-8286.0,0,-1,-1.0,-6.0,-7.33,3.0,-1.5,-4.5,1.0,-1.0
715,716,-6059.0,0,-2,2.0,0.0,-0.5,-0.33,-7.0,-7.0,2.0,0.0
716,717,4201.0,1,2,-1.0,5.75,5.5,3.0,1.0,4.5,0.0,-1.0
717,718,-12969.0,0,-1,1.0,-4.34,-11.33,-8.0,-3.5,-13.8,0.0,0.0
718,719,-1090.0,0,-2,1.0,-0.53,-2.25,0.33,2.42,0.0,1.0,-1.0
719,720,-2868.0,1,0,-1.0,-2.5,0.5,1.0,1.83,0.75,0.0,1.0
720,721,-8098.0,0,0,2.0,-5.33,-3.5,-3.25,-7.0,-8.33,1.0,0.0
721,722,1364.0,1,2,1.0,0.5,1.0,-2.0,-2.67,-7.0,0.0,0.0
722,723,540.0,0,0,2.0,0.0,-0.5,0.0,-5.0,-0.8300000000000001,1.0,-2.0
723,724,4334.0,1,-1,-2.0,1.75,2.25,-2.0,1.33,-2.0,1.0,0.0
724,725,-154.0,0,2,-1.0,4.0,-12.4,-0.08,-0.92,1.13,-1.0,1.0
725,726,-8424.0,0,-2,2.0,-2.67,-2.5,-1.0,-6.67,-8.8,0.0,1.0
726,727,8888.0,1,1,-1.0,2.0,7.0,6.0,4.75,4.38,-1.0,0.0
727,728,6398.0,1,0,-2.0,2.5,4.33,-1.33,10.33,10.8,-1.0,-1.0
728,729,1695.0,1,2,-1.0,7.75,-1.5,-1.67,-9.6,-9.0,3.0,0.0
