,Unnamed: 0,link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
5256,8985,/match/vn/83067141,Yasuo,Sylas,Rengar,Kha'Zix,Malphite,Akali,Jhin,Kai'Sa,Teemo,Blitzcrank,1.0,5.0,5.0,1.33,1.5,1.0,1.33,1.5,3.5,1.33,1672.0,0.0,1.0,2.0,0.0,2,0,red
8367,3762,/match/euw/6384717388,Darius,Camille,Lillia,Viego,Taliyah,Viktor,Jinx,Twitch,Milio,Lulu,1.0,4.0,0.33,6.0,1.0,4.0,1.0,5.0,0.33,5.0,-4171.0,0.0,0.0,1.0,0.0,1,1,red
8425,5725,/match/las/1292930069,Ornn,Poppy,Lillia,Kayn,Sylas,Veigar,Caitlyn,Ezreal,Rakan,Xerath,2.0,0.0,5.0,1.0,4.0,0.33,1.0,1.0,2.0,1.0,9.0,1.0,0.0,1.0,1.0,1,1,blue
7273,8554,/match/eune/3359236582,Yone,Shen,Jarvan IV,Bel'Veth,Zilean,Orianna,Twitch,Draven,Yuumi,Milio,0.33,4.0,0.25,10.0,0.0,9.0,0.5,4.0,1.0,8.0,-14653.0,3.0,0.0,2.0,0.0,0,1,red
7671,8099,/match/vn/81962604,Malphite,Sion,Kha'Zix,Sejuani,Vel'Koz,Veigar,Caitlyn,Lucian,Lux,Nami,3.0,0.5,5.0,6.0,1.0,1.67,0.33,6.0,0.25,3.5,-2110.0,0.0,0.0,1.0,1.0,1,1,blue
80,7648,/match/vn/82485517,Renekton,Yasuo,Sylas,Diana,Lissandra,Ahri,Zeri,Jinx,Yuumi,Blitzcrank,0.33,4.0,4.0,2.33,4.5,0.67,2.67,0.5,8.0,0.67,9239.0,0.0,5.0,0.0,1.0,2,0,blue
1543,5820,/match/las/1292835214,Aatrox,Malphite,Lee Sin,Shaco,Annie,Talon,Aphelios,Zeri,Bard,Milio,0.0,2.0,1.0,2.0,2.0,6.0,0.33,5.0,0.5,5.0,-2629.0,1.0,0.0,1.0,0.0,0,2,red
615,3812,/match/euw/6384765828,Mordekaiser,Ornn,Vi,Master Yi,Jayce,Fizz,Kai'Sa,Draven,Rakan,Ashe,0.0,2.0,1.0,2.0,1.2,2.0,1.0,4.0,6.0,6.0,-3088.0,0.0,0.0,1.0,0.0,1,0,blue
6304,7641,/match/vn/81391239,Riven,Sett,Sylas,Kha'Zix,Zed,Akali,Kai'Sa,Ezreal,Alistar,Soraka,0.0,4.0,9.0,2.0,2.0,0.5,1.4,1.17,3.5,1.25,-990.0,2.0,0.0,2.0,0.0,0,2,red
5804,5151,/match/lan/1383820336,Ezreal,Yuumi,Thresh,Katarina,Malzahar,Zac,Vi,Kai'Sa,Poppy,Volibear,3.5,1.5,3.5,3.0,0.25,5.0,0.75,6.0,0.75,3.5,-1634.0,0.0,0.0,0.0,2.0,2,0,red
4597,3995,/match/euw/6381566545,Volibear,Kled,Kha'Zix,Rengar,Syndra,Cassiopeia,Jinx,Xayah,Bard,Thresh,0.43,3.33,0.8,10.0,6.0,1.0,0.67,4.0,0.75,3.5,-6558.0,0.0,0.0,1.0,0.0,0,2,red
2002,4236,/match/jp/394515701,Camille,Yorick,Kayn,Lee Sin,Katarina,Fizz,Aphelios,Ezreal,Milio,Karma,1.33,2.0,2.0,2.33,1.33,4.0,1.0,1.5,4.0,6.0,-5983.0,2.0,0.0,2.0,0.0,1,1,red
1906,7584,/match/vn/82569880,Jax,Jayce,Gragas,Lee Sin,Katarina,Malzahar,Zeri,Jinx,Nautilus,Lulu,0.0,2.0,3.0,5.0,0.5,6.0,3.0,1.0,4.5,2.0,-912.0,0.0,0.0,1.0,1.0,1,1,red
8788,1731,/match/sg/6449728,Malphite,Mordekaiser,Viego,Ekko,Ahri,Talon,Kai'Sa,Caitlyn,Karma,Thresh,0.0,4.0,0.67,7.0,0.0,4.0,0.67,7.0,0.0,6.0,-9096.0,2.0,0.0,0.0,1.0,1,1,red
2184,2078,/match/tr/1404140972,Dr. Mundo,Riven,Viego,Karthus,Sylas,Katarina,Jhin,Jinx,Nami,Lulu,1.0,0.67,2.25,6.0,1.33,3.67,5.0,7.0,2.5,1.5,-525.0,0.0,0.0,1.0,1.0,1,1,red
1467,6078,/match/las/1292539946,Ekko,Darius,Yasuo,Taliyah,Katarina,Veigar,Zeri,Ezreal,Blitzcrank,Thresh,1.5,2.33,2.5,0.5,3.0,1.5,0.0,5.0,3.0,2.33,-2044.0,0.0,0.0,1.0,0.0,1,0,blue
3527,1087,/match/ru/440251211,Aatrox,Urgot,Master Yi,Jax,Kai'Sa,Akali,Ezreal,Tristana,Neeko,Lulu,0.6,3.0,1.5,2.5,0.8,2.33,3.33,1.2,5.5,1.67,1318.0,0.0,1.0,0.0,2.0,2,0,blue
2556,5155,/match/lan/1383843209,Mordekaiser,Renekton,Hecarim,Maokai,Aurelion Sol,Lux,Sivir,Jinx,Janna,Morgana,1.33,1.33,5.0,0.8,4.0,1.0,8.0,0.75,3.5,1.5,5916.0,0.0,0.0,0.0,1.0,1,1,blue
9217,5390,/match/lan/1382750685,Nasus,Sion,Udyr,Kha'Zix,Yone,Pantheon,Viktor,Ezreal,Thresh,Karma,0.5,2.0,2.0,4.0,0.8,3.5,3.0,0.0,5.0,1.5,-1300.0,0.0,0.0,1.0,0.0,0,2,blue
9287,5100,/match/lan/1383965648,Tryndamere,Jayce,Kha'Zix,Lee Sin,Sylas,Zed,Vayne,Ashe,Lulu,Swain,1.0,1.0,4.0,0.83,12.0,0.4,4.0,2.0,3.0,1.25,6696.0,0.0,0.0,0.0,2.0,1,0,blue
6790,2478,/match/tr/1403397058,Jax,Cassiopeia,Master Yi,Jarvan IV,Varus,Fiora,Senna,Draven,Lux,Morgana,3.0,0.5,2.0,4.0,1.0,3.0,8.0,0.6,2.33,0.5,-270.0,0.0,0.0,1.0,1.0,1,0,red
8289,5846,/match/las/1292710623,K'Sante,Vladimir,Lillia,Rengar,Sylas,Pantheon,Xayah,Jhin,Janna,Rakan,0.0,6.0,0.0,9.0,0.75,7.0,1.0,4.5,1.0,2.5,-8691.0,1.0,0.0,1.0,1.0,0,2,red
2538,7312,/match/eune/3359464436,Shen,Sett,Fiddlesticks,Sejuani,Annie,Zoe,Xayah,Jinx,Zilean,Milio,0.8,1.67,1.25,10.0,0.25,11.0,1.5,3.5,3.0,7.0,-6621.0,0.0,0.0,1.0,0.0,0,2,red
300,6567,/match/na/4644708238,Aatrox,Pantheon,Lee Sin,Vi,Ahri,Orianna,Lux,Ezreal,Twitch,Rakan,1.0,2.0,2.0,7.0,1.0,5.0,5.0,1.0,1.6,2.67,-167.0,0.0,0.0,1.0,0.0,2,0,red
9335,7310,/match/eune/3359480200,Sett,Darius,Viego,Hecarim,Viktor,Azir,Sivir,Jinx,Karma,Lux,0.17,4.0,0.6,7.0,0.33,5.0,5.0,3.0,2.5,1.5,-7124.0,1.0,1.0,1.0,0.0,1,1,red
5734,2431,/match/tr/1403482830,Riven,Volibear,Jarvan IV,Poppy,Katarina,Veigar,Jinx,Xayah,Rakan,Lulu,3.0,1.5,0.83,8.0,0.33,7.0,1.0,3.0,1.0,5.5,-9611.0,3.0,0.0,1.0,0.0,0,1,red
8465,7713,/match/vn/82486543,Yone,Ornn,Kha'Zix,Rek'Sai,Viktor,LeBlanc,Zeri,Miss Fortune,Thresh,Lux,0.5,2.0,4.0,1.33,1.0,6.0,3.5,1.4,1.2,7.0,261.0,0.0,0.0,2.0,0.0,1,0,red
5670,9199,/match/euw/6385521714,Vladimir,Gragas,Hecarim,Nocturne,Aurelion Sol,Talon,Ezreal,Zeri,Pyke,Urgot,0.0,1.0,1.5,2.5,2.0,4.0,1.5,0.75,3.0,2.0,540.0,0.0,0.0,0.0,0.0,1,0,blue
9301,2126,/match/tr/1403040392,Quinn,Kennen,Lee Sin,Vi,Kassadin,Tristana,Karthus,Zeri,Leona,Lulu,1.0,3.0,6.0,1.0,0.25,3.0,3.0,5.0,1.5,2.0,-8205.0,3.0,0.0,0.0,1.0,0,2,red
7471,2928,/match/tw/63500305,Kled,K'Sante,Kha'Zix,Maokai,Katarina,Viktor,Ezreal,Zeri,Milio,Thresh,5.0,0.2,7.0,0.75,10.0,0.0,1.0,4.0,2.5,5.0,11207.0,0.0,2.0,0.0,1.0,1,0,blue
3818,7846,/match/vn/82255106,Fiora,Jax,Shyvana,Kha'Zix,Tristana,Ahri,Xayah,Varus,Thresh,Nautilus,0.5,3.0,9.0,6.0,2.0,1.67,11.0,0.5,6.0,2.0,3740.0,1.0,2.0,0.0,2.0,1,1,red
3928,4720,/match/kr/6476199586,Fiora,Malphite,Kindred,Kha'Zix,LeBlanc,Vex,Xerath,Aphelios,Rakan,Thresh,3.0,0.0,4.0,0.67,2.0,1.5,4.0,2.0,8.0,0.5,797.0,0.0,0.0,1.0,1.0,1,1,blue
7672,1179,/match/ru/439288945,Dr. Mundo,Aatrox,Kindred,Warwick,Malzahar,Sylas,Kog'Maw,Kai'Sa,Volibear,Thresh,0.0,5.0,0.5,6.0,0.33,5.0,0.57,5.0,1.0,3.67,-11251.0,1.0,0.0,2.0,0.0,1,1,red
2760,7017,/match/na/4643875882,Camille,Malphite,Kha'Zix,Kindred,Galio,Veigar,Ashe,Seraphine,Annie,Xerath,4.0,1.33,7.0,3.0,3.0,1.0,6.0,6.0,2.33,1.0,4633.0,0.0,1.0,0.0,1.0,2,0,blue
6427,3743,/match/euw/6382881835,Kled,Singed,Nidalee,Viego,Swain,Ahri,Kai'Sa,Aphelios,Pyke,Senna,2.0,0.0,4.5,1.25,6.0,2.0,11.0,0.5,6.5,0.29,7404.0,1.0,1.0,0.0,1.0,1,1,blue
3425,830,/match/ph/11178912,Darius,Jax,Gragas,Irelia,Katarina,Shaco,Lucian,Ezreal,Pyke,Janna,0.5,2.0,3.0,6.0,4.0,0.67,0.5,3.0,0.67,1.0,-3245.0,0.0,0.0,1.0,0.0,1,0,red
7847,4586,/match/kr/6476271543,Gangplank,Xayah,Viktor,Karthus,Jarvan IV,Lulu,Jinx,Akshan,Milio,Ornn,2.0,2.0,3.0,1.5,7.0,1.0,5.0,0.33,5.0,1.0,4619.0,0.0,0.0,1.0,0.0,1,1,blue
1943,2039,/match/tr/1403386872,Thresh,Nasus,Galio,Shaco,Vi,Fizz,Tristana,Ashe,Rammus,Maokai,0.8,2.0,3.0,1.0,2.0,2.33,2.0,4.0,2.0,0.0,1146.0,0.0,0.0,0.0,1.0,1,0,red
5385,9566,/match/br/2723806039,Malphite,Kayle,Maokai,Nidalee,Yone,Aurelion Sol,Sivir,Aphelios,Zilean,Thresh,1.2,1.5,5.0,0.5,8.0,0.5,4.5,0.67,4.0,0.75,6835.0,0.0,2.0,1.0,1.0,2,0,blue
5137,2014,/match/tr/1404123462,Irelia,Olaf,Mordekaiser,Sejuani,Xayah,Viktor,Master Yi,Varus,Rakan,Karma,0.33,4.0,0.38,5.0,0.75,3.0,0.8,7.0,1.5,6.0,-14115.0,3.0,0.0,1.0,1.0,0,1,red
7379,4100,/match/jp/395306929,Gragas,Sylas,Ekko,Lee Sin,Jayce,Pantheon,Xayah,Ashe,Blitzcrank,Xerath,0.67,3.0,4.0,5.0,0.4,2.0,1.0,3.0,1.5,4.0,-4588.0,0.0,0.0,2.0,0.0,0,2,red
9518,9731,/match/euw/6386927995,Singed,Kayle,Hecarim,Kha'Zix,Neeko,Vladimir,Xayah,Jinx,Morgana,Milio,2.67,0.33,7.0,4.0,6.0,0.0,0.0,2.5,2.0,3.5,-855.0,1.0,0.0,1.0,0.0,0,1,red
7070,8373,/match/br/2722912496,Taric,Irelia,Kindred,Maokai,Katarina,Azir,Zeri,Kog'Maw,Rakan,Lulu,3.5,1.33,3.0,1.75,4.0,3.0,4.0,2.5,2.67,2.5,-3941.0,2.0,0.0,0.0,1.0,1,1,red
3507,8050,/match/vn/81963239,Rengar,Renekton,Xin Zhao,Graves,Tristana,Viktor,Aphelios,Jinx,Alistar,Morgana,0.75,2.0,1.33,3.5,1.0,1.33,3.0,2.0,1.67,2.5,-2950.0,1.0,0.0,1.0,1.0,0,2,blue
4275,9783,/match/euw/6386861852,Gragas,K'Sante,Vi,Neeko,Ahri,Katarina,Jinx,Draven,Annie,Soraka,2.0,5.0,1.0,7.0,4.0,3.5,0.71,3.5,1.33,8.0,-10845.0,2.0,0.0,0.0,1.0,0,1,red
1630,6980,/match/na/4638981617,Gragas,Akshan,Kayn,Nidalee,Xerath,Pantheon,Jhin,Draven,Pyke,Milio,0.5,1.67,0.43,6.5,2.0,5.0,0.5,12.0,0.8,13.0,-16112.0,4.0,0.0,1.0,0.0,0,1,red
