link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
/match/oce/568139314,Olaf,Aatrox,Ekko,Nidalee,Annie,Syndra,Zeri,Ezreal,Nautilus,Bard,0.2,6.0,4.0,4.0,2.0,0.0,2.0,2.0,3.0,2.0,-990.0,2.0,0.0,2.0,0.0,0,2,blue
/match/oce/568139029,Illaoi,Jayce,Taliyah,Kha'Zix,Sylas,Vladimir,Ezreal,Samira,Brand,Nautilus,4.0,0.0,10.0,2.0,3.0,0.0,2.67,2.0,1.75,1.67,7217.0,0.0,1.0,0.0,1.0,0,2,blue
/match/oce/568133767,Gangplank,Jax,Lillia,Master Yi,Qiyana,Gragas,Kai'Sa,Vayne,Nautilus,Amumu,1.0,1.33,8.0,0.67,2.0,0.67,1.0,2.0,1.0,3.0,2356.0,0.0,0.0,1.0,1.0,1,1,blue
/match/oce/568131325,Gnar,Illaoi,Jax,Zac,Azir,Xayah,Kai'Sa,Vladimir,Rakan,Senna,0.25,5.0,2.0,3.0,2.0,0.5,0.0,0.0,4.0,4.0,-1194.0,1.0,1.0,1.0,0.0,1,0,red
/match/oce/568130619,K'Sante,Zed,Jarvan IV,Nautilus,Lissandra,Yasuo,Kai'Sa,Samira,Rakan,Ekko,1.5,0.25,0.75,10.0,0.67,8.0,1.0,7.0,0.5,7.0,-5276.0,0.0,0.0,1.0,0.0,2,0,red
/match/oce/567933464,K'Sante,Sion,Nidalee,Jarvan IV,Pantheon,Malzahar,Jhin,Kai'Sa,Thresh,Rakan,1.0,1.0,8.0,4.0,2.5,1.33,8.0,0.33,5.0,1.25,1746.0,1.0,1.0,0.0,1.0,0,2,blue
/match/oce/567828652,Ezreal,Xin Zhao,Mordekaiser,Lulu,Rumble,Ahri,Lee Sin,Kog'Maw,Bard,Malphite,0.67,4.0,1.0,2.0,0.75,3.0,6.0,4.0,0.67,8.0,-122.0,0.0,0.0,1.0,1.0,2,0,red
/match/oce/567829487,Jax,K'Sante,Cassiopeia,Shaco,Lee Sin,Rumble,Kai'Sa,Ezreal,LeBlanc,Janna,2.0,0.5,0.0,2.0,5.0,4.0,2.0,2.0,1.33,3.0,-2064.0,0.0,0.0,0.0,0.0,1,1,blue
/match/oce/567829402,Fiora,Olaf,Kindred,Ekko,Maokai,Kai'Sa,Karthus,Tristana,Talon,Miss Fortune,0.25,2.5,1.75,1.75,1.33,8.0,0.75,3.5,9.0,0.67,-3673.0,1.0,0.0,1.0,0.0,1,1,blue
/match/oce/567772795,Dr. Mundo,Renekton,Elise,Kha'Zix,Riven,Kai'Sa,Aphelios,Vayne,Milio,Nautilus,0.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,5.0,-4742.0,1.0,1.0,1.0,0.0,0,2,red
/match/oce/568108107,Singed,Riven,Kindred,Nautilus,Lux,Ahri,Aphelios,Jinx,Thresh,Fiddlesticks,2.0,1.25,1.25,6.5,1.0,7.0,0.8,14.0,1.0,6.0,-5053.0,1.0,0.0,0.0,1.0,1,1,red
/match/oce/568104774,K'Sante,Camille,Talon,Evelynn,Tristana,Jayce,Cassiopeia,Xayah,Karma,Soraka,1.0,0.25,1.33,8.0,0.67,3.0,0.0,3.0,0.0,6.0,-1727.0,0.0,0.0,0.0,0.0,0,1,red
/match/oce/568105374,Sion,Gwen,Morgana,Wukong,Viktor,Jinx,Xayah,Sylas,Rakan,Milio,1.0,0.0,8.0,1.0,0.5,1.33,7.0,1.0,6.0,0.25,7187.0,0.0,1.0,0.0,2.0,2,0,blue
/match/oce/568099882,Rammus,Kled,Poppy,Viego,Annie,Syndra,Ezreal,Jinx,Bard,Janna,2.5,1.25,3.25,1.2,6.0,1.0,7.0,1.0,13.0,0.62,9184.0,0.0,1.0,0.0,1.0,1,0,blue
/match/oce/568098401,Gnar,Volibear,Lee Sin,Wukong,Xerath,Lucian,Ezreal,Vladimir,Karma,Nami,0.0,0.0,2.5,1.33,1.0,3.0,2.5,4.0,5.0,2.5,1987.0,0.0,0.0,0.0,2.0,1,1,red
/match/oce/568125155,K'Sante,Vayne,Talon,Kayn,Tahm Kench,Ahri,Veigar,Varus,Lux,Karma,4.0,0.75,0.67,7.0,0.67,6.0,2.0,3.0,0.67,3.5,-4475.0,2.0,0.0,1.0,0.0,0,2,red
/match/oce/568122525,Mordekaiser,Jax,Jinx,Evelynn,Hecarim,Talon,Ahri,Aphelios,Trundle,Milio,2.0,0.75,4.5,1.0,2.25,2.0,6.0,2.0,11.0,1.0,2737.0,0.0,0.0,0.0,0.0,2,0,red
/match/oce/568119642,Volibear,Riven,Ekko,Hecarim,Lissandra,Singed,Veigar,Kai'Sa,Senna,Milio,0.75,1.33,1.5,5.0,0.0,3.0,3.0,0.5,2.0,1.0,1297.0,0.0,0.0,2.0,0.0,1,1,red
/match/oce/568101272,Jax,K'Sante,Kindred,Nidalee,Sylas,Ahri,Xayah,Lucian,Thresh,Nami,2.0,0.75,2.33,5.0,1.0,1.0,1.0,3.0,2.5,3.5,2179.0,0.0,0.0,1.0,1.0,2,0,red
/match/oce/568102059,Pantheon,Irelia,Warwick,Kha'Zix,Cassiopeia,Twisted Fate,Kai'Sa,Seraphine,Thresh,Milio,1.5,1.5,9.0,1.0,1.5,1.5,1.0,0.5,6.0,1.0,2246.0,0.0,0.0,0.0,0.0,0,2,blue
/match/oce/567682639,Kai'Sa,Illaoi,Jarvan IV,Nidalee,Ahri,K'Sante,Lux,Varus,Caitlyn,Senna,3.0,0.0,8.0,1.0,3.0,0.4,7.0,0.0,6.0,0.0,1426.0,0.0,0.0,1.0,1.0,0,2,blue
/match/oce/567667891,Jax,Gangplank,Kha'Zix,Kayn,Ahri,Xerath,Lux,Ezreal,Aphelios,Soraka,1.25,1.5,2.5,2.0,9.0,1.0,1.33,3.0,0.5,6.0,-20.0,1.0,1.0,1.0,0.0,2,0,red
/match/oce/567648143,Zilean,Alistar,Karthus,Viego,Akshan,Viktor,Ashe,Veigar,Leona,Rammus,2.0,0.4,3.0,1.0,3.0,6.0,9.0,0.33,7.0,0.0,4202.0,0.0,0.0,0.0,1.0,1,0,blue
/match/oce/567583448,Mordekaiser,Lee Sin,Sejuani,Diana,Gangplank,Malzahar,Zeri,Milio,Yuumi,Jinx,3.0,0.0,4.0,5.0,6.0,3.0,1.67,0.67,6.0,1.67,5166.0,0.0,1.0,2.0,0.0,2,0,blue
/match/oce/567582219,Sett,Renekton,Kha'Zix,Viego,Galio,Sylas,Kai'Sa,Xayah,Pyke,Lulu,1.67,1.33,3.0,0.6,8.0,1.5,2.33,1.5,7.0,0.5,7929.0,0.0,1.0,2.0,0.0,2,0,blue
