link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference_at_20_minutes,turret_difference_at_20_minutes,dragon_difference_at_20_minutes,KDA_blue,KDA_red,Blue_Heralds_killed,Red_Heralds_killed,Team_Win,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red
/match/las/1290479321,Aatrox,Fiora,Zac,Lillia,Sivir,Vladimir,Kassadin,Ezreal,Swain,Karma,4473.0,4.0,0.0,34 / 25 / 52,25 / 34 / 31,2,0,blue,1.67,2.5,9.0,3.33,2.0,0.67,2.0,2.0,4.0,1.0
/match/las/1290476529,Ornn,Darius,Graves,Viego,Veigar,Katarina,Kai'Sa,Vayne,Yuumi,Nautilus,3266.0,0.0,-1.0,26 / 14 / 45,14 / 26 / 17,1,1,blue,1.0,3.0,2.33,2.5,1.5,1.75,5.0,0.75,10.0,0.67
/match/las/1290477272,Lillia,Renekton,Nunu & Willump,Gragas,Pantheon,Syndra,Caitlyn,Xayah,Thresh,Morgana,-3575.0,-3.0,0.0,40 / 34 / 68,34 / 40 / 65,2,0,blue,1.5,1.5,2.0,6.0,0.75,1.0,2.67,3.5,2.25,13.0
/match/las/1290469672,Darius,Hecarim,Evelynn,Yone,Sylas,Ahri,Jinx,Kai'Sa,Milio,Senna,4594.0,0.0,1.0,37 / 18 / 40,18 / 37 / 28,2,0,blue,2.0,0.33,11.0,3.0,3.0,0.8,1.4,2.0,3.0,2.0
/match/las/1290465665,Maokai,Mordekaiser,Zac,Lee Sin,Yone,Irelia,Xayah,Cassiopeia,Yuumi,Rell,-1360.0,0.0,2.0,27 / 26 / 46,26 / 27 / 41,1,1,blue,1.33,1.33,2.0,4.0,0.5,5.0,2.0,3.0,1.6,2.4
/match/las/1290461141,Garen,Quinn,Diana,Lillia,Yone,Fizz,Jinx,Vayne,Milio,Lulu,-1521.0,1.0,0.0,22 / 38 / 30,38 / 22 / 52,2,0,red,5.0,1.0,1.4,2.0,0.83,2.5,2.0,1.33,7.0,2.0
/match/las/1290452450,Kayn,Irelia,Elise,Miss Fortune,Azir,Hecarim,Jinx,Varus,Sona,Nautilus,-7952.0,-3.0,-3.0,26 / 46 / 38,46 / 26 / 45,0,2,red,0.38,1.5,4.0,1.0,1.5,2.0,0.75,9.0,1.4,9.0
/match/las/1290449875,Mordekaiser,Gangplank,Nocturne,Evelynn,Zed,Ivern,Ezreal,Varus,Senna,Thresh,1565.0,2.0,2.0,39 / 35 / 51,35 / 39 / 58,1,1,blue,1.0,5.0,3.67,7.0,7.0,2.0,2.0,2.4,1.71,2.4
/match/las/1290419112,Gangplank,Dr. Mundo,Diana,Jarvan IV,Akshan,Viktor,Kog'Maw,Kai'Sa,Karma,Zilean,-4652.0,-2.0,-3.0,18 / 39 / 18,39 / 18 / 56,0,1,red,0.33,1.33,1.4,5.67,1.0,4.5,1.2,4.5,1.4,4.33
/match/las/1290411752,K'Sante,Poppy,Pantheon,Lee Sin,Viktor,Mordekaiser,Jhin,Ezreal,Rakan,Lulu,2199.0,-2.0,2.0,22 / 9 / 47,9 / 22 / 8,0,2,blue,0.25,3.0,2.5,3.0,6.0,1.5,2.5,0.0,7.0,0.5
