gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
2893.0,1,2,0.0,0.0,0.6699999999999999,4.5,10.0,3.0,4.0,-2.0,-1.0,-48.86000000000001
-4431.0,0,1,1.0,1.0,-1.0,-2.5,-0.08,-3.0,-4.0,0.0,-2.0,-20.040000000000013
-4449.0,0,-2,2.0,1.0,-0.83,2.0,-5.2,0.6699999999999999,0.1699999999999999,0.0,-1.0,-9.679999999999986
-3492.0,0,2,1.0,1.0,2.33,0.0,-4.75,-7.5,1.0,0.0,-1.0,-61.75
1834.0,1,2,-1.0,-1.0,0.83,0.8300000000000001,-3.5,1.0,1.5,-1.0,0.0,12.720000000000006
-3019.0,0,-2,2.0,1.0,0.0,0.5,0.0,1.5,0.0,-5.0,-1.0,-36.41000000000001
2221.0,1,0,-1.0,0.0,-1.0,2.67,0.0,2.5,3.0,0.0,1.0,-14.22
960.0,1,1,2.0,0.0,-0.5,1.0,-3.5,0.0,0.6699999999999999,1.0,-1.0,2.1200000000000188
-2012.0,0,2,1.0,0.0,-0.75,-12.5,-1.33,-2.75,-2.0,-1.0,0.0,25.20999999999998
-1809.0,1,1,-1.0,0.0,-1.0,-5.5,-4.0,0.0,2.0,0.0,-1.0,-7.550000000000033
-2224.0,0,-2,0.0,1.0,-2.67,-4.5,-5.5,4.33,0.0,-1.0,-1.0,-14.749999999999986
1025.0,1,0,-1.0,-1.0,-1.0,-1.34,0.8,1.0,-6.67,-4.0,-1.0,-8.929999999999993
8605.0,1,2,-1.0,-2.0,8.67,3.33,7.5,4.0,4.25,-4.0,-1.0,8.909999999999982
4831.0,1,2,1.0,-1.0,3.5,-3.5,0.0,0.0,-1.0,-1.0,1.0,94.49999999999994
7158.0,1,1,1.0,0.0,3.75,1.5,3.0,4.75,6.5,2.0,2.0,19.880000000000024
7046.0,1,0,-1.0,-2.0,2.17,3.5,2.8,8.0,1.67,-2.0,-1.0,-27.62
-7707.0,0,-2,2.0,2.0,-5.0,-2.25,-9.0,-2.33,-2.29,1.0,0.0,47.94999999999997
-4713.0,0,-1,1.0,0.0,-5.0,-5.0,-0.83,-1.0,-1.0,0.0,-1.0,-5.000000000000014
-5560.0,0,0,1.0,0.0,-1.0,-2.5,-5.0,-3.0,0.0,0.0,2.0,22.23999999999998
-2581.0,0,2,2.0,-1.0,4.0,4.0,0.5,-3.2,-2.5,1.0,1.0,50.06999999999999
-1637.0,0,0,1.0,-1.0,-0.5,-5.67,-5.33,-4.33,1.0,-3.0,-1.0,-63.02000000000001
-3481.0,1,-2,-1.0,0.0,-1.0,-6.0,0.33,1.0,1.0,2.0,1.0,-7.489999999999981
1402.0,1,2,0.0,0.0,-2.0,-0.08,-3.0,8.0,0.92,0.0,2.0,20.76999999999997
663.0,1,0,-2.0,0.0,-4.0,0.8300000000000001,2.67,2.0,2.0,0.0,-1.0,2.4000000000000057
1343.0,1,2,-1.0,0.0,1.5,1.0,2.0,4.5,5.0,-2.0,1.0,-2.9199999999999733
2427.0,1,2,0.0,-1.0,2.5,2.0,-5.0,2.0,-2.0,2.0,1.0,33.749999999999986
-1457.0,1,0,1.0,1.0,2.0,-7.0,-4.67,-0.5,1.17,1.0,0.0,-12.360000000000008
8010.0,1,2,-2.0,-2.0,-1.0,3.0,5.0,2.17,4.0,3.0,1.0,66.17000000000002
4822.0,1,2,-2.0,-1.0,-1.0,0.1699999999999999,2.0,2.0,2.5,0.0,0.0,-5.170000000000016
6797.0,1,-1,-2.0,-1.0,0.6699999999999999,5.67,2.5,4.0,6.0,0.0,-2.0,-8.509999999999955
10715.0,1,1,-1.0,-2.0,1.5,5.5,2.33,6.0,7.75,2.0,0.0,13.980000000000013
-6865.0,0,-1,0.0,1.0,-4.0,-4.5,-1.0,-0.08,-5.33,0.0,-1.0,-21.23999999999998
3979.0,1,1,0.0,-1.0,-1.0,-2.5,0.6699999999999999,7.0,2.75,1.0,-1.0,2.8399999999999963
-7160.0,0,0,1.0,1.0,-6.0,-2.0,-1.0,-10.8,-6.33,1.0,-2.0,-22.090000000000025
264.0,1,-1,-1.0,0.0,0.0,-2.67,3.67,0.0,-1.0,-1.0,-1.0,-5.809999999999974
3167.0,1,2,0.0,-1.0,0.5,6.2,-0.6699999999999999,6.0,1.75,1.0,3.0,1.579999999999984
3819.0,0,0,1.0,-1.0,5.67,9.0,5.33,-3.33,0.0,-2.0,2.0,-146.13
-2259.0,0,0,0.0,1.0,1.5,-2.5,-0.6699999999999999,0.0,-1.0,-1.0,1.0,-1.2400000000000233
5758.0,1,0,1.0,-1.0,-3.5,0.5,-2.5,7.6,4.0,-2.0,-1.0,1.4099999999999824
-11884.0,0,1,2.0,2.0,-4.0,-5.0,-2.0,-11.62,-4.5,-2.0,0.0,-9.740000000000023
6039.0,1,2,-1.0,-1.0,4.0,2.33,1.75,0.33,4.25,0.0,0.0,-6.649999999999977
1224.0,1,0,-1.0,0.0,3.75,-4.0,0.0,0.5,-3.0,-1.0,0.0,-6.039999999999978
-12295.0,0,-2,0.0,2.0,-3.4,-3.75,-2.96,-2.75,-11.11,0.0,-1.0,-10.300000000000011
-205.0,1,0,1.0,0.0,2.5,5.0,-2.0,5.0,2.5,-1.0,1.0,19.479999999999947
-1739.0,1,-2,2.0,0.0,-2.0,-4.0,1.0,2.25,-0.5,2.0,-2.0,26.370000000000005
3614.0,0,2,-2.0,-1.0,-5.0,2.0,0.0,3.33,4.67,-1.0,0.0,-50.99999999999998
1590.0,0,0,1.0,-1.0,-2.5,-4.33,4.5,-0.25,1.75,0.0,0.0,-4.560000000000045
-247.0,1,-2,1.0,1.0,-4.67,-0.33,-1.0,3.5,-2.0,2.0,1.0,-12.390000000000008
-7649.0,0,-2,1.0,3.0,-3.6,-11.5,-7.0,0.1600000000000001,-1.0,0.0,0.0,-11.450000000000044
4137.0,1,-1,1.0,0.0,-2.0,7.5,1.0,-1.5,3.33,0.0,0.0,0.4200000000000017
-1658.0,1,-2,0.0,0.0,-4.0,-5.0,-1.0,4.0,1.5,2.0,0.0,-2.3200000000000003
-5857.0,0,-2,1.0,1.0,-2.0,-4.0,-4.0,-8.8,-1.0,-2.0,1.0,-0.7499999999999858
-3210.0,0,-2,-1.0,1.0,-5.25,-1.5,-1.0,-3.0,-2.0,1.0,1.0,-6.449999999999989
4255.0,1,2,1.0,0.0,1.0,5.0,0.0,0.33,7.4,0.0,0.0,-7.0500000000000185
-3554.0,0,-2,-1.0,1.0,-6.67,-1.0,-4.5,-1.0,0.0,-2.0,-1.0,43.30000000000002
319.0,1,0,0.0,0.0,-2.6,1.17,2.5,0.8,1.33,-1.0,0.0,13.609999999999964
182.0,0,0,1.0,0.0,5.0,3.0,1.0,2.0,1.0,0.0,0.0,-40.21000000000003
-499.0,0,-2,1.0,0.0,-7.0,0.25,0.0,3.67,10.8,-1.0,0.0,-0.0499999999999829
8122.0,1,2,-2.0,-2.0,0.3999999999999999,5.57,4.75,1.5,14.6,2.0,0.0,13.98999999999998
6929.0,1,2,-1.0,-1.0,2.29,0.5,3.33,0.0,0.25,0.0,-1.0,-2.369999999999997
-137.0,1,0,2.0,0.0,3.75,2.5,-3.5,0.0,1.0,-3.0,-1.0,1.5599999999999523
-5587.0,0,-1,0.0,0.0,-1.0,-2.17,-7.67,-1.0,-5.5,2.0,-1.0,-21.660000000000025
-897.0,1,2,1.0,1.0,7.33,4.25,-2.67,-5.33,2.67,-3.0,1.0,56.22000000000002
1212.0,1,0,-2.0,1.0,1.5,9.0,3.0,-0.6699999999999999,-3.67,-2.0,-1.0,-14.040000000000006
5221.0,1,2,0.0,-1.0,5.0,2.67,1.0,9.75,1.83,0.0,1.0,-9.510000000000003
-633.0,1,0,0.0,-1.0,-4.21,-1.5,1.0,-2.0,-2.0,-1.0,2.0,-3.829999999999991
4787.0,1,2,-2.0,-1.0,-0.6699999999999999,3.0,3.5,3.5,1.5,-1.0,1.0,2.02999999999998
2944.0,0,0,0.0,0.0,0.0,3.0,0.5,-1.73,-2.5,1.0,-1.0,0.1700000000000088
-10367.0,0,-2,0.0,3.0,-4.0,-5.0,-5.0,-2.0,-6.0,1.0,-1.0,-22.780000000000022
-3309.0,0,-2,2.0,1.0,0.0,-8.8,-6.6,4.0,-0.33,-3.0,-1.0,11.329999999999975
-2900.0,1,2,0.0,1.0,-0.33,-3.8,3.47,-14.0,-1.0,1.0,0.0,-13.780000000000008
-6176.0,0,-1,2.0,2.0,-6.0,-11.0,-3.0,0.25,0.1999999999999999,-1.0,0.0,-6.660000000000011
6953.0,1,1,1.0,-1.0,5.0,8.33,3.67,0.6699999999999999,1.17,-1.0,0.0,-13.399999999999975
4476.0,1,0,1.0,-1.0,4.88,4.5,-4.0,1.0,0.0,-1.0,-1.0,6.2400000000000375
-7425.0,0,-2,0.0,1.0,-4.0,-5.0,-1.75,-3.0,-8.0,-1.0,0.0,14.220000000000011
-2229.0,0,0,1.0,0.0,-5.0,4.0,-2.0,2.0,-4.75,0.0,-1.0,29.249999999999982
8544.0,1,2,0.0,-1.0,2.17,1.0,-0.33,3.33,1.0,3.0,0.0,18.00000000000003
-5231.0,0,-1,1.0,3.0,0.75,0.0,1.0,-2.68,-13.5,0.0,0.0,-6.840000000000018
-5531.0,0,0,-1.0,1.0,-2.34,-2.67,-10.2,0.47,-4.4,-1.0,-1.0,-150.68
1981.0,1,-1,1.0,-1.0,10.0,0.1699999999999999,-6.5,1.0,1.0,-1.0,-1.0,3.050000000000012
-12402.0,0,-2,1.0,3.0,-4.0,-11.8,-7.0,-5.4,-6.07,-2.0,1.0,9.53
530.0,0,2,0.0,0.0,3.5,-0.1699999999999999,1.5,1.5,0.5,1.0,-1.0,-9.210000000000022
-4051.0,0,1,0.0,1.0,0.5,-3.0,-0.33,0.0,-2.0,1.0,0.0,-4.250000000000021
-1967.0,1,-1,1.0,0.0,0.0,-5.25,3.0,2.67,1.0,-5.0,0.0,7.879999999999988
3322.0,1,-2,-1.0,0.0,-2.0,-1.0,2.5,3.0,4.7,-2.0,0.0,0.6000000000000156
-3871.0,0,-1,1.0,0.0,2.0,-3.3,-0.5,-5.5,-3.25,1.0,0.0,33.349999999999945
1956.0,1,0,-2.0,-1.0,0.5,2.0,-1.5,5.0,7.0,1.0,1.0,14.86
-304.0,0,2,2.0,0.0,-1.0,2.0,1.0,0.0,-1.5,1.0,-1.0,-13.0
-3679.0,0,1,1.0,1.0,-1.0,-3.0,1.5,-3.0,2.0,2.0,0.0,-12.02000000000001
-1700.0,0,-1,2.0,0.0,0.0,0.0,-2.0,-2.67,-3.0,2.0,0.0,-23.74000000000005
5304.0,1,-1,0.0,0.0,-3.75,6.6,9.0,0.33,6.0,-1.0,1.0,-0.1300000000000025
-8993.0,0,-2,0.0,1.0,-3.33,-1.83,-2.33,0.5800000000000001,-4.0,1.0,2.0,-7.16999999999998
-6591.0,0,-1,2.0,1.0,-1.0,-4.25,-5.5,-4.0,-3.0,-3.0,-2.0,-27.52
629.0,1,2,-2.0,0.0,-1.33,-7.0,1.0,-7.5,-8.67,0.0,-1.0,10.009999999999984
-3346.0,0,-2,1.0,0.0,-4.0,-3.75,-1.0,-4.0,-5.0,0.0,1.0,-5.900000000000006
-2189.0,0,-2,2.0,0.0,-3.5,-3.0,1.67,-0.5,-3.0,1.0,-1.0,-32.99
-870.0,1,0,-2.0,0.0,1.33,-7.8,7.5,-0.8300000000000001,-5.33,-2.0,0.0,13.90999999999999
-3535.0,0,0,1.0,0.0,-6.67,-2.05,2.5,-0.3399999999999998,-2.0,1.0,2.0,1.8000000000000114
5085.0,1,0,-1.0,-1.0,1.5,4.0,3.0,3.25,3.9,0.0,0.0,-9.550000000000004
1779.0,1,2,2.0,-1.0,4.0,3.0,0.5,-8.5,-3.8,1.0,2.0,4.790000000000028
2188.0,1,2,1.0,-1.0,1.5,2.33,4.5,0.5,-1.0,0.0,0.0,13.920000000000025
16082.0,1,2,-1.0,-2.0,14.67,9.0,12.71,7.33,1.4,-1.0,1.0,-140.65
4463.0,1,2,1.0,-2.0,-3.0,6.75,3.5,5.0,5.3,0.0,-2.0,-20.239999999999974
-209.0,0,0,2.0,0.0,0.0,4.0,2.0,-3.75,5.0,-1.0,0.0,-5.890000000000022
