gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
7365.0,1,1,-2.0,-2.0,2.9,3.0,7.83,0.3299999999999999,5.0,0.0,-1.0
-3431.0,0,-1,1.0,0.0,-1.0699999999999998,2.17,3.0,2.0,2.0,1.0,2.0
-4587.0,0,-2,-1.0,2.0,-5.5,-1.6,0.25,0.0,-3.0,1.0,0.0
6280.0,1,2,-2.0,-2.0,-5.8,2.58,8.0,7.33,7.5,0.0,1.0
6819.0,1,2,-2.0,-1.0,1.5,13.8,0.0,2.75,11.5,2.0,0.0
-5198.0,0,-2,0.0,1.0,-0.33,-2.5,-1.5,0.33,0.0,0.0,2.0
-1576.0,0,0,1.0,-1.0,2.0,-2.0,0.08,0.25,1.5,0.0,0.0
2408.0,1,0,-2.0,0.0,-1.5,1.5,5.75,1.0,-0.1699999999999999,-1.0,-2.0
2959.0,0,2,-2.0,1.0,-0.5,1.5,-1.0,3.0,1.67,-2.0,-1.0
-15567.0,0,-1,1.0,7.0,-8.0,-11.67,-8.0,-11.0,-9.0,0.0,1.0
5343.0,1,2,-2.0,0.0,8.8,9.5,-0.3399999999999998,1.33,3.33,-1.0,1.0
11750.0,1,2,-1.0,-2.0,0.5,9.5,8.33,0.5,3.0,-2.0,0.0
13120.0,1,1,0.0,-3.0,8.0,4.9,5.5,3.5,4.17,-1.0,-1.0
-2516.0,0,-2,1.0,0.0,1.0,0.4199999999999999,-4.67,-1.33,-6.5,0.0,0.0
-1769.0,0,2,0.0,0.0,-2.0,-0.33,0.33,-4.25,4.33,-1.0,0.0
-7425.0,0,-2,0.0,1.0,-4.0,-5.0,-1.75,-3.0,-8.0,-1.0,0.0
-3536.0,0,0,0.0,1.0,-3.0,-3.67,-2.0,-0.5,-0.25,0.0,-1.0
228.0,1,2,-1.0,0.0,-1.67,7.67,6.33,-5.5,-1.0,1.0,1.0
3259.0,1,2,-1.0,-1.0,1.0,3.0,2.6,-1.0,-5.25,-1.0,0.0
4502.0,1,2,1.0,-1.0,1.0,1.5,0.05,7.75,1.5,-1.0,1.0
-6151.0,0,0,-1.0,0.0,-1.5,-2.5,-0.5,1.67,-6.5,1.0,2.0
3669.0,1,2,-1.0,0.0,-1.5,1.0,2.13,6.4,2.0,2.0,0.0
-807.0,1,2,1.0,0.0,-0.25,-3.5,3.0,-2.0,-2.0,0.0,-2.0
5235.0,1,2,-1.0,0.0,-0.25,8.0,3.8,4.0,3.0,0.0,0.0
1557.0,1,0,-2.0,0.0,2.0,3.67,2.5,-4.0,-4.0,-1.0,0.0
-4457.0,0,-2,1.0,1.0,-3.07,-4.0,-8.0,5.33,3.75,-1.0,-1.0
-4332.0,0,1,1.0,2.0,0.0,0.5,-3.6,-3.5,2.33,-1.0,-1.0
4946.0,1,1,1.0,-1.0,1.0,1.5,-9.0,1.5,0.5,1.0,2.0
349.0,0,2,1.0,0.0,3.0,-1.83,-4.0,-4.0,-5.0,-2.0,0.0
9381.0,1,-1,0.0,0.0,5.5,13.67,9.33,8.6,2.4,-2.0,1.0
4755.0,1,-1,-1.0,-1.0,-0.5,4.67,4.33,1.0,1.17,-1.0,-1.0
1639.0,1,0,0.0,0.0,5.0,5.0,-0.5,-0.92,-0.1699999999999999,2.0,-1.0
3215.0,1,-1,-2.0,0.0,-1.25,-1.0,1.5,1.34,1.27,0.0,-1.0
1549.0,0,0,1.0,-1.0,0.5800000000000001,0.0,-2.0,-2.0,-3.0,0.0,-1.0
3880.0,0,2,0.0,0.0,-6.86,4.33,4.0,6.5,8.67,-1.0,-1.0
-2809.0,0,0,1.0,1.0,3.75,-5.67,-3.0,0.5,0.0,0.0,1.0
11767.0,1,1,-2.0,-3.0,8.75,5.5,9.0,8.6,11.0,-2.0,0.0
2395.0,1,2,1.0,-1.0,1.0,3.5,6.25,-8.67,-3.0,-2.0,-1.0
-5003.0,1,-2,-1.0,1.0,-1.25,-0.25,-7.75,1.17,2.5,2.0,1.0
-3771.0,0,2,-1.0,1.0,2.75,-4.0,2.0,-5.0,1.0,-1.0,1.0
5016.0,1,-1,-1.0,0.0,2.0,1.83,3.5,2.0,5.0,1.0,-1.0
-5230.0,0,-2,0.0,2.0,0.0,2.0,1.0,-5.3,-9.0,0.0,0.0
