top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,top_blue_lane,top_blue_role,top_red_lane,top_red_role,jung_blue_lane,jung_blue_role,jung_red_lane,jung_red_role,mid_blue_lane,mid_blue_role,mid_red_lane,mid_red_role,ad_blue_lane,ad_blue_role,ad_red_lane,ad_red_role,support_blue_lane,support_blue_role,support_red_lane,support_red_role,score_blue,score_red,score_blue_role,score_red_role
Rumble,Gangplank,Lee Sin,Jarvan IV,Pantheon,Lissandra,Jinx,Kog'Maw,Milio,Lulu,1992.0,blue,2,-1.0,-1.0,6.0,4.0,-6.0,3.67,1.17,top,Fighter,top,Fighter,jungle,Fighter,jungle,Tank,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,5.0,3.0,5.0
Akshan,Sion,Lee Sin,Viego,Galio,Brand,Nilah,Karthus,Pyke,Senna,-63.0,red,0,-1.0,0.0,1.0,5.0,1.0,8.25,3.25,top,Marksman,top,Tank,jungle,Fighter,jungle,Assassin,mid,Tank,support,Mage,adc,Fighter,jungle,Mage,support,Support,support,Marksman,5.0,3.0,4.0,4.0
Sion,Illaoi,Nocturne,Sylas,Fizz,Kha'Zix,Lux,Ziggs,Senna,Janna,4973.0,red,0,0.0,-1.0,5.75,4.0,1.83,1.83,3.0,top,Tank,top,Fighter,jungle,Assassin,top,Mage,mid,Assassin,jungle,Assassin,mid,Mage,mid,Mage,support,Marksman,support,Support,4.0,2.0,4.0,4.0
Jax,Olaf,Hecarim,Evelynn,Qiyana,Akshan,Veigar,Ezreal,Karma,Soraka,4079.0,blue,2,-1.0,-1.0,2.1,-2.0,5.75,0.0,2.0,top,Fighter,top,Fighter,jungle,Fighter,jungle,Assassin,mid,Assassin,top,Marksman,mid,Mage,adc,Marksman,support,Mage,support,Support,4.0,4.0,3.0,4.0
Jax,Camille,Nautilus,Rek'Sai,Kennen,Lucian,Draven,Syndra,Graves,Nami,6950.0,blue,2,2.0,-1.0,1.33,5.0,-2.5,2.0,6.75,top,Fighter,top,Fighter,mid,Tank,jungle,Fighter,top,Mage,adc,Marksman,adc,Marksman,mid,Mage,jungle,Marksman,support,Support,2.0,3.0,4.0,4.0
Kindred,Nami,Sylas,Lucian,Ezreal,Rek'Sai,Renekton,LeBlanc,Karma,Jax,-14538.0,red,-2,1.0,3.0,-5.56,-8.67,-12.0,-3.75,-14.25,jungle,Marksman,support,Support,top,Mage,adc,Marksman,adc,Marksman,jungle,Fighter,top,Fighter,mid,Assassin,support,Mage,top,Fighter,1.0,0.0,3.0,4.0
Annie,Nami,Tahm Kench,Lucian,Wukong,Rek'Sai,Xayah,Viktor,Nautilus,Zac,-8033.0,red,-1,1.0,2.0,-5.4,-5.8,-4.9,-2.0,-3.5,mid,Mage,support,Support,top,Support,adc,Marksman,top,Fighter,jungle,Fighter,adc,Marksman,mid,Mage,mid,Tank,top,Tank,1.0,0.0,5.0,5.0
Renekton,Gnar,Talon,Rek'Sai,Annie,Galio,Aphelios,Jinx,Milio,Yuumi,-2371.0,red,-1,2.0,0.0,1.9,-9.5,-5.0,-1.2,-10.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Fighter,mid,Mage,mid,Tank,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,5.0,5.0,4.0
Olaf,Aatrox,Ekko,Nidalee,Annie,Syndra,Zeri,Ezreal,Nautilus,Bard,-990.0,blue,-2,2.0,2.0,-5.8,0.0,2.0,0.0,1.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,mid,Tank,support,Support,4.0,5.0,5.0,5.0
Illaoi,Jayce,Taliyah,Kha'Zix,Sylas,Vladimir,Ezreal,Samira,Brand,Nautilus,7217.0,blue,-2,-1.0,-1.0,4.0,8.0,3.0,0.6699999999999999,0.08000000000000007,top,Fighter,top,Fighter,jungle,Mage,jungle,Assassin,top,Mage,top,Mage,adc,Marksman,adc,Marksman,support,Mage,mid,Tank,4.0,3.0,3.0,5.0
Gangplank,Jax,Lillia,Master Yi,Qiyana,Gragas,Kai'Sa,Vayne,Nautilus,Amumu,2356.0,blue,0,0.0,0.0,-0.33000000000000007,7.33,1.33,-1.0,-2.0,top,Fighter,top,Fighter,jungle,Fighter,jungle,Assassin,mid,Assassin,top,Fighter,adc,Marksman,top,Marksman,mid,Tank,jungle,Tank,4.0,2.0,4.0,4.0
Gnar,Illaoi,Jax,Zac,Azir,Xayah,Kai'Sa,Vladimir,Rakan,Senna,-1194.0,red,1,1.0,0.0,-4.75,-1.0,1.5,0.0,0.0,top,Fighter,top,Fighter,top,Fighter,top,Tank,mid,Mage,adc,Marksman,adc,Marksman,top,Mage,support,Support,support,Marksman,4.0,2.0,4.0,4.0
K'Sante,Zed,Jarvan IV,Nautilus,Lissandra,Yasuo,Kai'Sa,Samira,Rakan,Ekko,-5276.0,red,2,1.0,0.0,1.25,-9.25,-7.33,-6.0,-6.5,top,Tank,top,Assassin,jungle,Tank,mid,Tank,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Support,jungle,Assassin,5.0,2.0,4.0,4.0
K'Sante,Sion,Nidalee,Jarvan IV,Pantheon,Malzahar,Jhin,Kai'Sa,Thresh,Rakan,1746.0,blue,-2,-1.0,0.0,0.0,4.0,1.17,7.67,3.75,top,Tank,top,Tank,jungle,Assassin,jungle,Tank,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,5.0,5.0,4.0
Ezreal,Xin Zhao,Mordekaiser,Lulu,Rumble,Ahri,Lee Sin,Kog'Maw,Bard,Malphite,-122.0,red,2,0.0,0.0,-3.33,-1.0,-2.25,2.0,-7.33,adc,Marksman,jungle,Fighter,top,Fighter,support,Support,top,Fighter,mid,Mage,jungle,Fighter,adc,Marksman,support,Support,top,Tank,1.0,2.0,3.0,5.0
Jax,K'Sante,Cassiopeia,Shaco,Lee Sin,Rumble,Kai'Sa,Ezreal,LeBlanc,Janna,-2064.0,blue,0,0.0,0.0,1.5,-2.0,1.0,0.0,-1.67,top,Fighter,top,Tank,top,Mage,jungle,Assassin,jungle,Fighter,top,Fighter,adc,Marksman,adc,Marksman,mid,Assassin,support,Support,2.0,4.0,4.0,5.0
Fiora,Olaf,Kindred,Ekko,Maokai,Kai'Sa,Karthus,Tristana,Talon,Miss Fortune,-3673.0,blue,0,1.0,1.0,-2.25,0.0,-6.67,-2.75,8.33,top,Fighter,top,Fighter,jungle,Marksman,jungle,Assassin,top,Tank,adc,Marksman,jungle,Mage,mid,Marksman,jungle,Assassin,adc,Marksman,2.0,2.0,5.0,3.0
Dr. Mundo,Renekton,Elise,Kha'Zix,Riven,Kai'Sa,Aphelios,Vayne,Milio,Nautilus,-4742.0,red,-2,1.0,0.0,-1.0,-3.0,1.0,-1.0,-2.0,top,Fighter,top,Fighter,jungle,Mage,jungle,Assassin,top,Fighter,adc,Marksman,adc,Marksman,top,Marksman,support,Support,mid,Tank,4.0,2.0,4.0,4.0
Singed,Riven,Kindred,Nautilus,Lux,Ahri,Aphelios,Jinx,Thresh,Fiddlesticks,-5053.0,red,0,-1.0,1.0,0.75,-5.25,-6.0,-13.2,-5.0,top,Tank,top,Fighter,jungle,Marksman,mid,Tank,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,jungle,Mage,5.0,3.0,4.0,4.0
K'Sante,Camille,Talon,Evelynn,Tristana,Jayce,Cassiopeia,Xayah,Karma,Soraka,-1727.0,red,-1,0.0,0.0,0.75,-6.67,-2.33,-3.0,-6.0,top,Tank,top,Fighter,jungle,Assassin,jungle,Assassin,mid,Marksman,top,Fighter,top,Mage,adc,Marksman,support,Mage,support,Support,4.0,4.0,4.0,4.0
Sion,Gwen,Morgana,Wukong,Viktor,Jinx,Xayah,Sylas,Rakan,Milio,7187.0,blue,2,-2.0,-1.0,1.0,7.0,-0.8300000000000001,6.0,5.75,top,Tank,top,Fighter,support,Mage,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,top,Mage,support,Support,support,Support,4.0,2.0,4.0,4.0
Rammus,Kled,Poppy,Viego,Annie,Syndra,Ezreal,Jinx,Bard,Janna,9184.0,blue,1,-1.0,-1.0,1.25,2.05,5.0,6.0,12.38,jungle,Tank,top,Fighter,top,Tank,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,3.0,5.0,4.0,5.0
Gnar,Volibear,Lee Sin,Wukong,Xerath,Lucian,Ezreal,Vladimir,Karma,Nami,1987.0,red,0,-2.0,0.0,0.0,1.17,-2.0,-1.5,2.5,top,Fighter,top,Fighter,jungle,Fighter,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,top,Mage,support,Mage,support,Support,5.0,2.0,3.0,4.0
K'Sante,Vayne,Talon,Kayn,Tahm Kench,Ahri,Veigar,Varus,Lux,Karma,-4475.0,red,-2,1.0,2.0,3.25,-6.33,-5.33,-1.0,-2.83,top,Tank,top,Marksman,jungle,Assassin,top,Fighter,top,Support,mid,Mage,mid,Mage,mid,Marksman,mid,Mage,support,Mage,2.0,3.0,4.0,3.0
Mordekaiser,Jax,Jinx,Evelynn,Hecarim,Talon,Ahri,Aphelios,Trundle,Milio,2737.0,red,2,0.0,0.0,1.25,3.5,0.25,4.0,10.0,top,Fighter,top,Fighter,adc,Marksman,jungle,Assassin,jungle,Fighter,jungle,Assassin,mid,Mage,adc,Marksman,top,Fighter,support,Support,1.0,4.0,3.0,4.0
Volibear,Riven,Ekko,Hecarim,Lissandra,Singed,Veigar,Kai'Sa,Senna,Milio,1297.0,red,0,2.0,0.0,-0.5800000000000001,-3.5,-3.0,2.5,1.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Fighter,mid,Mage,top,Tank,mid,Mage,adc,Marksman,support,Marksman,support,Support,4.0,4.0,4.0,4.0
Jax,K'Sante,Kindred,Nidalee,Sylas,Ahri,Xayah,Lucian,Thresh,Nami,2179.0,red,2,0.0,0.0,1.25,-2.67,0.0,-2.0,-1.0,top,Fighter,top,Tank,jungle,Marksman,jungle,Assassin,top,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,5.0,4.0,5.0
Pantheon,Irelia,Warwick,Kha'Zix,Cassiopeia,Twisted Fate,Kai'Sa,Seraphine,Thresh,Milio,2246.0,blue,-2,0.0,0.0,0.0,8.0,0.0,0.5,5.0,top,Fighter,top,Fighter,top,Fighter,jungle,Assassin,top,Mage,mid,Mage,adc,Marksman,adc,Mage,support,Support,support,Support,3.0,5.0,4.0,4.0
Kai'Sa,Illaoi,Jarvan IV,Nidalee,Ahri,K'Sante,Lux,Varus,Caitlyn,Senna,1426.0,blue,-2,0.0,0.0,3.0,7.0,2.6,7.0,6.0,adc,Marksman,top,Fighter,jungle,Tank,jungle,Assassin,mid,Mage,top,Tank,mid,Mage,mid,Marksman,adc,Marksman,support,Marksman,2.0,3.0,3.0,4.0
Jax,Gangplank,Kha'Zix,Kayn,Ahri,Xerath,Lux,Ezreal,Aphelios,Soraka,-20.0,red,2,1.0,0.0,-0.25,0.5,8.0,-1.67,-5.5,top,Fighter,top,Fighter,jungle,Assassin,top,Fighter,mid,Mage,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,3.0,4.0,4.0,4.0
