top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,top_blue_lane,top_blue_role,top_red_lane,top_red_role,jung_blue_lane,jung_blue_role,jung_red_lane,jung_red_role,mid_blue_lane,mid_blue_role,mid_red_lane,mid_red_role,ad_blue_lane,ad_blue_role,ad_red_lane,ad_red_role,support_blue_lane,support_blue_role,support_red_lane,support_red_role,score_blue,score_red,score_blue_role,score_red_role
Sion,Gwen,Udyr,Rek'Sai,Talon,Veigar,Kai'Sa,Ezreal,Seraphine,Senna,3607.0,red,2,-1.0,-1.0,-0.83,3.0,3.17,7.5,3.4,top,Tank,top,Fighter,top,Fighter,jungle,Fighter,jungle,Assassin,mid,Mage,adc,Marksman,adc,Marksman,adc,Mage,support,Marksman,2.0,5.0,5.0,3.0
Aatrox,Gwen,Rek'Sai,Sejuani,Kassadin,K'Sante,Jinx,Draven,Maokai,Thresh,-3513.0,red,0,1.0,0.0,-2.0,0.33000000000000007,-4.0,-1.5,-7.25,top,Fighter,top,Fighter,jungle,Fighter,jungle,Tank,mid,Assassin,top,Tank,adc,Marksman,adc,Marksman,top,Tank,support,Support,4.0,4.0,4.0,4.0
Nasus,Kled,Evelynn,Master Yi,Corki,Kassadin,Jinx,Xayah,Alistar,Nautilus,-2234.0,red,1,2.0,0.0,-1.5,2.5,-0.8300000000000001,0.5,3.5,top,Fighter,top,Fighter,jungle,Assassin,jungle,Assassin,mid,Marksman,mid,Assassin,adc,Marksman,adc,Marksman,support,Tank,mid,Tank,5.0,4.0,4.0,4.0
Lillia,Jax,Lee Sin,Gragas,Kassadin,Ahri,Kai'Sa,Aphelios,Blitzcrank,Milio,-496.0,blue,0,0.0,2.0,-0.6699999999999999,5.0,-2.0,9.5,10.0,jungle,Fighter,top,Fighter,jungle,Fighter,top,Fighter,mid,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Tank,support,Support,4.0,4.0,4.0,4.0
Gragas,Ahri,Wukong,Jayce,Yasuo,Nidalee,Aphelios,Ezreal,Thresh,Karma,-359.0,red,-1,1.0,0.0,0.0,-2.5,2.67,-4.67,0.33000000000000007,top,Fighter,mid,Mage,top,Fighter,top,Fighter,top,Fighter,jungle,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Mage,3.0,2.0,3.0,4.0
Yasuo,Elise,Jarvan IV,Kha'Zix,Ahri,Zed,Karthus,Draven,Nautilus,Leona,3422.0,red,2,0.0,-1.0,2.4,7.33,-1.0,3.83,1.5,top,Fighter,jungle,Mage,jungle,Tank,jungle,Assassin,mid,Mage,top,Assassin,jungle,Mage,adc,Marksman,mid,Tank,support,Tank,3.0,3.0,3.0,4.0
Kennen,Jax,Ivern,Bel'Veth,Ekko,Yone,Miss Fortune,Sivir,Blitzcrank,Nami,-1292.0,red,1,0.0,-1.0,-5.0,-2.25,-1.9300000000000002,0.8300000000000001,-9.2,top,Mage,top,Fighter,jungle,Support,jungle,Fighter,jungle,Assassin,top,Assassin,adc,Marksman,adc,Marksman,support,Tank,support,Support,4.0,4.0,5.0,4.0
Mordekaiser,Gwen,Lee Sin,Zac,Yasuo,Sylas,Draven,Kog'Maw,Lux,Senna,6202.0,blue,-1,-1.0,0.0,-2.67,4.67,7.75,2.33,4.0,top,Fighter,top,Fighter,jungle,Fighter,top,Tank,top,Fighter,top,Mage,adc,Marksman,adc,Marksman,mid,Mage,support,Marksman,3.0,3.0,3.0,4.0
Shen,Jax,Hecarim,Sylas,Zoe,Galio,Kai'Sa,Draven,Seraphine,Thresh,-4162.0,red,-2,1.0,0.0,2.67,-2.0,-4.0,-2.0,-2.25,top,Tank,top,Fighter,jungle,Fighter,top,Mage,mid,Mage,mid,Tank,adc,Marksman,adc,Marksman,adc,Mage,support,Support,4.0,4.0,4.0,5.0
Sett,Udyr,Rek'Sai,Elise,Vel'Koz,Sylas,Miss Fortune,Xayah,Thresh,Rakan,-451.0,red,-2,0.0,1.0,-0.25,-2.5,3.0,-0.6600000000000001,-2.0,top,Fighter,top,Fighter,jungle,Fighter,jungle,Mage,mid,Mage,top,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,4.0,4.0,4.0
Nautilus,Kayn,Sion,Camille,Irelia,Zoe,Xayah,Thresh,Lillia,Aphelios,-1761.0,red,-2,2.0,0.0,1.3399999999999999,-0.75,-3.3,7.33,-0.5800000000000001,mid,Tank,top,Fighter,top,Tank,top,Fighter,top,Fighter,mid,Mage,adc,Marksman,support,Support,jungle,Fighter,adc,Marksman,1.0,2.0,3.0,4.0
Camille,Fiora,Fiddlesticks,Udyr,Zed,Malphite,Ezreal,Jinx,Ivern,Lulu,7002.0,blue,2,-2.0,-1.0,3.67,3.8,4.0,1.0,6.0,top,Fighter,top,Fighter,jungle,Mage,top,Fighter,top,Assassin,top,Tank,adc,Marksman,adc,Marksman,jungle,Support,support,Support,3.0,3.0,5.0,4.0
Lulu,Akshan,Dr. Mundo,Wukong,Veigar,Ezreal,Zeri,Morgana,Lillia,Kassadin,-10221.0,red,-2,2.0,2.0,-1.33,-2.25,-4.0,-9.2,-4.5,support,Support,top,Marksman,top,Fighter,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Mage,jungle,Fighter,mid,Assassin,2.0,1.0,4.0,4.0
Tristana,Syndra,Zac,Yasuo,Malphite,Sion,Zilean,Wukong,Jinx,Rakan,2231.0,blue,2,-2.0,1.0,7.25,5.4,1.33,4.0,2.0,mid,Marksman,mid,Mage,top,Tank,top,Fighter,top,Tank,top,Tank,mid,Support,top,Fighter,adc,Marksman,support,Support,0.0,1.0,3.0,4.0
Ornn,Pantheon,Lee Sin,Wukong,Vladimir,Lissandra,Ezreal,Veigar,Vel'Koz,Heimerdinger,-4311.0,red,0,-2.0,0.0,0.0,-0.75,0.0,-2.75,-1.47,top,Tank,top,Fighter,jungle,Fighter,top,Fighter,top,Mage,mid,Mage,adc,Marksman,mid,Mage,mid,Mage,support,Mage,3.0,3.0,4.0,2.0
Rumble,Fiora,Hecarim,Master Yi,Gragas,Galio,Xayah,Jinx,Ivern,Janna,3734.0,blue,0,1.0,-1.0,1.0,2.0,0.0,2.0,3.0,top,Fighter,top,Fighter,jungle,Fighter,jungle,Assassin,top,Fighter,mid,Tank,adc,Marksman,adc,Marksman,jungle,Support,support,Support,3.0,5.0,3.0,5.0
Malphite,Irelia,Jarvan IV,Diana,Yasuo,Zed,Ahri,Xayah,Rakan,Taric,3869.0,red,2,1.0,0.0,-1.17,7.0,2.0,5.8,6.0,top,Tank,top,Fighter,jungle,Tank,jungle,Fighter,top,Fighter,top,Assassin,mid,Mage,adc,Marksman,support,Support,support,Support,3.0,4.0,4.0,4.0
Jax,Gragas,Lee Sin,Sylas,Ahri,Galio,Veigar,Jinx,Karma,Soraka,2038.0,blue,2,0.0,0.0,-4.0,-1.75,1.0,4.5,4.0,top,Fighter,top,Fighter,jungle,Fighter,top,Mage,mid,Mage,mid,Tank,mid,Mage,adc,Marksman,support,Mage,support,Support,4.0,4.0,2.0,5.0
Dr. Mundo,Gangplank,Kindred,Rammus,Syndra,Lissandra,Jinx,Varus,Milio,Karma,-6239.0,blue,-1,1.0,1.0,3.0,-7.5,-4.0,-3.7,-6.0,top,Fighter,top,Fighter,jungle,Marksman,jungle,Tank,mid,Mage,mid,Mage,adc,Marksman,mid,Marksman,support,Support,support,Mage,5.0,4.0,4.0,4.0
Sett,K'Sante,Rengar,Lee Sin,Ahri,Syndra,Jinx,Varus,Lulu,Karma,260.0,red,-2,1.0,1.0,2.67,4.0,4.0,0.0,1.0,top,Fighter,top,Tank,top,Assassin,jungle,Fighter,mid,Mage,mid,Mage,adc,Marksman,mid,Marksman,support,Support,support,Mage,4.0,4.0,5.0,4.0
Kai'Sa,Renekton,Poppy,Alistar,Taliyah,Yasuo,Pyke,Orianna,Jax,Lee Sin,-2623.0,blue,2,1.0,1.0,9.6,0.75,-3.5,9.5,-7.71,adc,Marksman,top,Fighter,top,Tank,support,Tank,jungle,Mage,top,Fighter,support,Support,mid,Mage,top,Fighter,jungle,Fighter,0.0,1.0,5.0,3.0
Tryndamere,Gnar,Bel'Veth,Hecarim,Akshan,Galio,Jinx,Caitlyn,Rakan,Milio,86.0,red,2,0.0,0.0,0.5,4.33,1.0,-1.08,-1.0,top,Fighter,top,Fighter,jungle,Fighter,jungle,Fighter,top,Marksman,mid,Tank,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,5.0,3.0,4.0
Gangplank,Vladimir,Viego,Kayn,Sylas,Rumble,Xayah,Kai'Sa,Rakan,Lulu,-180.0,blue,2,2.0,0.0,-0.9400000000000001,-0.5,1.0,3.5,4.0,top,Fighter,top,Mage,jungle,Assassin,top,Fighter,top,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,3.0,5.0,4.0
Gnar,Wukong,Lee Sin,Trundle,Veigar,Yasuo,Lucian,Ashe,Milio,Nami,10632.0,blue,2,-1.0,-2.0,1.75,11.71,2.5,8.8,9.75,top,Fighter,top,Fighter,jungle,Fighter,top,Fighter,mid,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,3.0,4.0,3.0
Jayce,Darius,Shaco,Elise,Gragas,Zed,Zeri,Twitch,Yuumi,Lulu,3937.0,blue,0,0.0,-1.0,0.5,-1.5,-2.0,1.0,1.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Mage,top,Fighter,top,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,4.0,4.0,5.0
Nasus,Zac,Maokai,Kha'Zix,Yasuo,Brand,Kalista,Caitlyn,Swain,Lux,-8149.0,red,-2,2.0,1.0,-1.0,-3.0,-7.0,-9.5,-11.67,top,Fighter,top,Tank,top,Tank,jungle,Assassin,top,Fighter,support,Mage,adc,Marksman,adc,Marksman,top,Mage,mid,Mage,2.0,3.0,4.0,4.0
Olaf,Ornn,Lee Sin,Evelynn,Neeko,Pantheon,Xayah,Caitlyn,Blitzcrank,Nautilus,-3338.0,red,2,0.0,0.0,-2.33,-4.33,-4.0,-2.0,-4.4,top,Fighter,top,Tank,jungle,Fighter,jungle,Assassin,jungle,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Tank,mid,Tank,4.0,3.0,4.0,4.0
Dr. Mundo,Kassadin,Kha'Zix,Nocturne,Fizz,Zed,Twitch,Caitlyn,Thresh,Taric,-3372.0,red,2,1.0,0.0,-1.25,-1.0,2.67,-3.0,-4.0,top,Fighter,mid,Assassin,jungle,Assassin,jungle,Assassin,mid,Assassin,top,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,3.0,4.0,3.0
Irelia,Volibear,Diana,Jarvan IV,Zed,Yasuo,Kai'Sa,Kog'Maw,Taric,Milio,-2093.0,blue,0,-1.0,0.0,-1.5,-0.33000000000000007,-0.5,0.0,-2.0,top,Fighter,top,Fighter,jungle,Fighter,jungle,Tank,top,Assassin,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,4.0,4.0,4.0
Rammus,Singed,Wukong,Kha'Zix,Vex,Miss Fortune,Kai'Sa,LeBlanc,Blitzcrank,Thresh,-7913.0,red,0,0.0,1.0,-1.0,0.0,-1.9,-1.0,-1.67,jungle,Tank,top,Tank,top,Fighter,jungle,Assassin,mid,Mage,adc,Marksman,adc,Marksman,mid,Assassin,support,Tank,support,Support,3.0,3.0,4.0,4.0
Urgot,Kennen,Vi,Rek'Sai,Katarina,Heimerdinger,Jinx,Aphelios,Lulu,Thresh,-1256.0,red,0,1.0,0.0,-3.67,-0.5,4.8,0.16999999999999993,-2.0,top,Fighter,top,Mage,jungle,Fighter,jungle,Fighter,mid,Assassin,support,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,4.0,4.0,4.0
Sejuani,Camille,Sylas,Jarvan IV,Katarina,Zoe,Ezreal,Aphelios,Thresh,Rakan,691.0,blue,0,1.0,0.0,3.67,3.75,0.5,-0.25,-2.0,jungle,Tank,top,Fighter,top,Mage,jungle,Tank,mid,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,3.0,5.0,5.0,5.0
Olaf,Singed,Lee Sin,Shaco,Fizz,Pantheon,Jinx,Xayah,Thresh,Lulu,798.0,red,0,-2.0,0.0,-1.5,3.0,2.67,2.0,0.0,top,Fighter,top,Tank,jungle,Fighter,jungle,Assassin,mid,Assassin,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,4.0,4.0,5.0
Gnar,Sion,Wukong,Vi,Vladimir,LeBlanc,Jinx,Kai'Sa,Milio,Pyke,-8835.0,blue,-2,2.0,1.0,-4.67,-5.33,-7.0,-5.0,-12.0,top,Fighter,top,Tank,top,Fighter,jungle,Fighter,top,Mage,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Support,3.0,5.0,4.0,5.0
Renekton,Sett,Rammus,Lee Sin,Xerath,Yasuo,Ezreal,Vel'Koz,Swain,Karma,1085.0,red,0,0.0,0.0,1.8699999999999999,1.25,1.67,3.0,5.33,top,Fighter,top,Fighter,jungle,Tank,jungle,Fighter,mid,Mage,top,Fighter,adc,Marksman,mid,Mage,top,Mage,support,Mage,4.0,3.0,4.0,2.0
K'Sante,Gragas,Viego,Kha'Zix,Veigar,Sylas,Karthus,Jinx,Karma,Thresh,2698.0,red,0,0.0,0.0,2.0,1.0,2.0,2.0,4.17,top,Tank,top,Fighter,jungle,Assassin,jungle,Assassin,mid,Mage,top,Mage,jungle,Mage,adc,Marksman,support,Mage,support,Support,4.0,4.0,3.0,5.0
Ornn,Sion,Jarvan IV,Lee Sin,LeBlanc,Ahri,Miss Fortune,Jinx,Blitzcrank,Thresh,3082.0,blue,0,-1.0,-1.0,-3.67,-3.25,4.5,5.5,7.2,top,Tank,top,Tank,jungle,Tank,jungle,Fighter,mid,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Tank,support,Support,5.0,5.0,3.0,5.0
Urgot,K'Sante,Sylas,Poppy,Talon,Ahri,Jinx,Kai'Sa,Thresh,Senna,-973.0,red,2,-1.0,0.0,3.0,-5.0,0.3999999999999999,0.16999999999999993,-4.0,top,Fighter,top,Tank,top,Mage,top,Tank,jungle,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Marksman,3.0,4.0,5.0,3.0
Tryndamere,Pantheon,Rek'Sai,Kha'Zix,Taliyah,Ziggs,Jhin,Lucian,Viego,Milio,7633.0,blue,2,-2.0,-1.0,-1.33,9.67,7.5,2.33,7.0,top,Fighter,top,Fighter,jungle,Fighter,jungle,Assassin,jungle,Mage,mid,Mage,adc,Marksman,adc,Marksman,jungle,Assassin,support,Support,3.0,5.0,4.0,5.0
Riven,Renekton,Ekko,Shaco,Senna,Akali,Jinx,Ezreal,Thresh,Yuumi,-9035.0,red,-1,1.0,2.0,0.5,-1.25,-3.8,-5.0,-4.4,top,Fighter,top,Fighter,jungle,Assassin,jungle,Assassin,support,Marksman,top,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,4.0,4.0,4.0
Veigar,Zac,Viego,Vex,Illaoi,Pantheon,Jinx,Xayah,Milio,Thresh,6275.0,blue,1,-2.0,-1.0,4.5,3.5,5.75,-2.0,5.33,mid,Mage,top,Tank,jungle,Assassin,mid,Mage,top,Fighter,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support,3.0,3.0,5.0,5.0
Aatrox,Shen,Vex,Kha'Zix,Lee Sin,Ryze,Xayah,Sivir,Pyke,Thresh,3658.0,blue,2,1.0,0.0,0.4,8.0,7.5,-1.0,-2.5,top,Fighter,top,Tank,mid,Mage,jungle,Assassin,jungle,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,3.0,5.0,4.0,5.0
Singed,Camille,Gragas,Nocturne,Karma,Annie,Xayah,Aphelios,Akali,Rakan,-5757.0,red,-2,-1.0,0.0,-3.5,-1.5,-2.5,-2.0,-1.0,top,Tank,top,Fighter,top,Fighter,jungle,Assassin,support,Mage,mid,Mage,adc,Marksman,adc,Marksman,top,Assassin,support,Support,2.0,5.0,5.0,5.0
Sett,Irelia,Vi,Kayn,Xerath,Kassadin,Veigar,Varus,Ashe,Seraphine,7739.0,blue,0,-1.0,-1.0,-1.0,2.5,6.75,3.5,7.5,top,Fighter,top,Fighter,jungle,Fighter,top,Fighter,mid,Mage,mid,Assassin,mid,Mage,mid,Marksman,adc,Marksman,adc,Mage,3.0,2.0,3.0,4.0
Gragas,Renekton,Jarvan IV,Wukong,Annie,Akali,Ezreal,Nilah,Thresh,Taric,-227.0,red,-1,0.0,0.0,0.0,-1.5,-0.6699999999999999,-1.0,-1.5,top,Fighter,top,Fighter,jungle,Tank,top,Fighter,mid,Mage,top,Assassin,adc,Marksman,adc,Fighter,support,Support,support,Support,5.0,3.0,5.0,3.0
Sett,K'Sante,Kayn,Kha'Zix,Vex,Kassadin,Samira,Lucian,Pyke,Lulu,4164.0,blue,2,-1.0,0.0,2.0,2.0,1.5,0.19999999999999996,-0.33000000000000007,top,Fighter,top,Tank,top,Fighter,jungle,Assassin,mid,Mage,mid,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,5.0,4.0,4.0
Malphite,Darius,Jhin,Volibear,Jayce,Gragas,Lee Sin,Zeri,Nautilus,Renata Glasc,5096.0,blue,2,0.0,0.0,3.67,7.5,0.0,4.0,5.5,top,Tank,top,Fighter,adc,Marksman,top,Fighter,top,Fighter,top,Fighter,jungle,Fighter,adc,Marksman,mid,Tank,support,Support,1.0,3.0,3.0,3.0
Gwen,Jax,Viego,Hecarim,Talon,Sylas,Zeri,Aphelios,Taric,Soraka,-6809.0,blue,-2,0.0,1.0,-0.5,-5.67,-6.5,-1.83,-5.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Fighter,jungle,Assassin,top,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,4.0,4.0,4.0
Jayce,Malphite,Fiddlesticks,Kha'Zix,Annie,Fizz,Ezreal,Zeri,Karma,Senna,926.0,red,0,1.0,1.0,4.5,8.0,-1.0,1.0,1.33,top,Fighter,top,Tank,jungle,Mage,jungle,Assassin,mid,Mage,mid,Assassin,adc,Marksman,adc,Marksman,support,Mage,support,Marksman,5.0,5.0,3.0,3.0
Sion,Gnar,Sett,Jarvan IV,Irelia,Katarina,Gragas,Xayah,Seraphine,Pyke,232.0,red,2,-1.0,0.0,-2.5,2.5,-2.0,7.2,-1.67,top,Tank,top,Fighter,top,Fighter,jungle,Tank,top,Fighter,mid,Assassin,top,Fighter,adc,Marksman,adc,Mage,support,Support,1.0,5.0,3.0,5.0
Malphite,Aatrox,Sylas,Gragas,Yasuo,Zed,Varus,Xayah,Karma,Zac,-2516.0,red,-2,1.0,0.0,1.0,0.41999999999999993,-4.67,-1.33,-6.5,top,Tank,top,Fighter,top,Mage,top,Fighter,top,Fighter,top,Assassin,mid,Marksman,adc,Marksman,support,Mage,top,Tank,2.0,2.0,4.0,4.0
Dr. Mundo,Mordekaiser,Wukong,Lee Sin,Aurelion Sol,Yone,Aphelios,Jinx,Karma,Renata Glasc,-2091.0,red,-2,2.0,1.0,3.0,-1.0,-0.5,-4.33,-4.0,top,Fighter,top,Fighter,top,Fighter,jungle,Fighter,mid,Mage,top,Assassin,adc,Marksman,adc,Marksman,support,Mage,support,Support,4.0,4.0,3.0,4.0
Gwen,Illaoi,Xin Zhao,Kai'Sa,Zoe,LeBlanc,Vayne,Wukong,Lulu,Zilean,2411.0,red,0,0.0,1.0,2.0,4.67,2.0,11.0,6.5,top,Fighter,top,Fighter,jungle,Fighter,adc,Marksman,mid,Mage,mid,Assassin,top,Marksman,top,Fighter,support,Support,mid,Support,4.0,2.0,4.0,4.0
Nasus,Shen,Evelynn,Jarvan IV,Yasuo,Twitch,Kog'Maw,Vayne,Rakan,Lulu,-7036.0,red,-2,-1.0,1.0,-8.0,-11.67,-8.71,-3.9,-8.33,top,Fighter,top,Tank,jungle,Assassin,jungle,Tank,top,Fighter,adc,Marksman,adc,Marksman,top,Marksman,support,Support,support,Support,4.0,3.0,4.0,3.0
Yone,Udyr,Mordekaiser,Jayce,Hecarim,Anivia,Kai'Sa,Jinx,Nautilus,Milio,7341.0,blue,-1,-1.0,-2.0,1.33,0.5,1.33,3.33,1.0,top,Assassin,top,Fighter,top,Fighter,top,Fighter,jungle,Fighter,mid,Mage,adc,Marksman,adc,Marksman,mid,Tank,support,Support,2.0,4.0,4.0,4.0
Yone,Thresh,Blitzcrank,Nunu & Willump,Vex,Zed,Zeri,Lucian,Milio,Orianna,3872.0,blue,0,0.0,0.0,1.33,3.0,3.0,0.5,5.33,top,Assassin,support,Support,support,Tank,jungle,Tank,mid,Mage,top,Assassin,adc,Marksman,adc,Marksman,support,Support,mid,Mage,4.0,2.0,5.0,5.0
Fiora,Ornn,Jarvan IV,Rek'Sai,Twisted Fate,Sylas,Seraphine,Jinx,Senna,Lulu,3619.0,blue,2,-1.0,-1.0,-2.5,5.67,-0.16999999999999993,2.33,6.0,top,Fighter,top,Tank,jungle,Tank,jungle,Fighter,mid,Mage,top,Mage,adc,Mage,adc,Marksman,support,Marksman,support,Support,5.0,4.0,4.0,5.0
Malphite,Gangplank,Rek'Sai,Diana,Taliyah,Yasuo,Xayah,Kai'Sa,Soraka,Lulu,-5198.0,red,-2,0.0,1.0,-0.33000000000000007,-2.5,-1.5,0.33000000000000007,0.0,top,Tank,top,Fighter,jungle,Fighter,jungle,Fighter,jungle,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,4.0,5.0,3.0
Cho'Gath,Sion,Elise,Lee Sin,Gangplank,Katarina,Seraphine,Ashe,Senna,Karma,-4211.0,red,0,1.0,1.0,-1.67,-1.17,-6.0,-5.0,-6.0,top,Tank,top,Tank,jungle,Mage,jungle,Fighter,top,Fighter,mid,Assassin,adc,Mage,adc,Marksman,support,Marksman,support,Mage,4.0,5.0,4.0,5.0
Tryndamere,Olaf,Hecarim,Elise,Ahri,Lissandra,Xayah,Miss Fortune,Orianna,Thresh,-3952.0,red,0,2.0,1.0,-2.6,0.5,1.17,-1.5,-0.8300000000000001,top,Fighter,top,Fighter,jungle,Fighter,jungle,Mage,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,mid,Mage,support,Support,4.0,5.0,3.0,4.0
Maokai,Alistar,Tristana,Kai'Sa,Mordekaiser,Viego,Blitzcrank,Ryze,Syndra,Sylas,-917.0,blue,0,0.0,0.0,2.25,-5.0,0.0,-5.0,-3.0,top,Tank,support,Tank,mid,Marksman,adc,Marksman,top,Fighter,jungle,Assassin,support,Tank,mid,Mage,mid,Mage,top,Mage,1.0,0.0,4.0,4.0
Gangplank,Pantheon,Sylas,Master Yi,LeBlanc,Zed,Jinx,Seraphine,Thresh,Senna,7908.0,blue,2,1.0,-2.0,0.0,10.67,-4.33,9.83,9.8,top,Fighter,top,Fighter,top,Mage,jungle,Assassin,mid,Assassin,top,Assassin,adc,Marksman,adc,Mage,support,Support,support,Marksman,4.0,4.0,5.0,4.0
Malphite,Aurelion Sol,Nunu & Willump,Seraphine,Sylas,Poppy,Milio,Jarvan IV,Jinx,Pantheon,-1199.0,red,0,2.0,0.0,2.0,-2.0,0.0,-0.5,1.0,top,Tank,mid,Mage,jungle,Tank,adc,Mage,top,Mage,top,Tank,support,Support,jungle,Tank,adc,Marksman,top,Fighter,2.0,0.0,4.0,3.0
Ashe,Corki,Janna,Samira,Jarvan IV,Leona,Viktor,Kha'Zix,Dr. Mundo,Nasus,-5365.0,red,-2,-1.0,0.0,-2.0,-2.67,-2.5,-2.0,-2.0,adc,Marksman,mid,Marksman,support,Support,adc,Marksman,jungle,Tank,support,Tank,mid,Mage,jungle,Assassin,top,Fighter,top,Fighter,0.0,0.0,5.0,4.0
Jax,Camille,Zac,Sejuani,Pantheon,Akali,Ashe,Zeri,Annie,Yuumi,209.0,red,0,-1.0,0.0,0.16999999999999993,7.33,6.0,3.25,6.75,top,Fighter,top,Fighter,top,Tank,jungle,Tank,top,Fighter,top,Assassin,adc,Marksman,adc,Marksman,mid,Mage,support,Support,2.0,4.0,4.0,5.0
Singed,Gragas,Poppy,Talon,Akali,Yasuo,Jinx,Xayah,Braum,Shaco,587.0,blue,2,-1.0,-1.0,-3.25,2.75,1.0,4.33,4.67,top,Tank,top,Fighter,top,Tank,jungle,Assassin,top,Assassin,top,Fighter,adc,Marksman,adc,Marksman,support,Support,jungle,Assassin,3.0,3.0,4.0,3.0
Wukong,Kha'Zix,Syndra,LeBlanc,Sion,Yasuo,Annie,Gragas,Jax,Ornn,1749.0,red,0,-2.0,-1.0,-3.0,0.5,2.67,-3.67,0.5,top,Fighter,jungle,Assassin,mid,Mage,mid,Assassin,top,Tank,top,Fighter,mid,Mage,top,Fighter,top,Fighter,top,Tank,1.0,0.0,3.0,3.0
Riven,K'Sante,Vi,Nunu & Willump,Vel'Koz,Zed,Kai'Sa,Ezreal,Taric,Senna,1950.0,blue,0,1.0,-1.0,4.0,3.33,0.6699999999999999,0.0,0.83,top,Fighter,top,Tank,jungle,Fighter,jungle,Tank,mid,Mage,top,Assassin,adc,Marksman,adc,Marksman,support,Support,support,Marksman,5.0,4.0,4.0,3.0
Cho'Gath,Nasus,Wukong,Lillia,Varus,Zed,Ahri,Kog'Maw,Renata Glasc,Rakan,4841.0,blue,2,-2.0,-1.0,0.5,1.5,1.0,3.5,1.5,top,Tank,top,Fighter,top,Fighter,jungle,Fighter,mid,Marksman,top,Assassin,mid,Mage,adc,Marksman,support,Support,support,Support,3.0,4.0,5.0,4.0
Jax,Fiora,Jarvan IV,Sylas,Akali,Vex,Lucian,Varus,Lulu,Senna,-6652.0,red,0,-1.0,0.0,-0.5,-7.0,-6.5,-2.67,-6.0,top,Fighter,top,Fighter,jungle,Tank,top,Mage,top,Assassin,mid,Mage,adc,Marksman,mid,Marksman,support,Support,support,Marksman,4.0,3.0,5.0,3.0
Yone,Cho'Gath,Rek'Sai,Elise,Fizz,Annie,Caitlyn,Draven,Morgana,Taric,-2363.0,red,-2,2.0,0.0,0.0,-3.0,-4.5,0.6699999999999999,-5.0,top,Assassin,top,Tank,jungle,Fighter,jungle,Mage,mid,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Mage,support,Support,5.0,5.0,4.0,4.0
Yasuo,Jayce,Bel'Veth,Ekko,Anivia,Malzahar,Lucian,Karthus,Alistar,Senna,-4879.0,red,0,2.0,1.0,0.0,-1.5,-1.0,-7.75,0.0,top,Fighter,top,Fighter,jungle,Fighter,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,jungle,Mage,support,Tank,support,Marksman,5.0,4.0,4.0,4.0
Mordekaiser,Fiora,Viego,Skarner,Sylas,Viktor,Kai'Sa,Jinx,Thresh,Bard,-2716.0,red,-2,2.0,0.0,-4.5,-0.8300000000000001,-1.0,3.67,-1.9300000000000002,top,Fighter,top,Fighter,jungle,Assassin,jungle,Fighter,top,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,4.0,5.0,5.0,4.0
Ornn,Jayce,Kayn,Sylas,Lissandra,Ahri,Samira,Aphelios,Thresh,Xerath,6131.0,red,2,-1.0,-1.0,6.0,4.67,10.25,8.75,3.9,top,Tank,top,Fighter,top,Fighter,top,Mage,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,support,Support,mid,Mage,4.0,3.0,5.0,3.0
