gold_difference,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,blue_win_percentage,red_win_percentage
3049.0,2.0,1.0,0.0,0.0,0.0,2.0,2.5,2.67,68.45692651334782,31.543073486652176
4847.0,2.0,-2.0,-1.0,3.67,2.67,0.0,1.0,2.0,90.64706681866937,9.352933181330627
4937.0,1.0,2.0,0.0,2.33,0.0,2.25,2.5,-0.08,74.33638969443372,25.66361030556628
2905.0,-2.0,0.0,-1.0,5.0,0.0,0.0,2.25,5.67,68.20453481849748,31.79546518150252
-940.0,0.0,1.0,0.0,0.0,-1.17,1.95,3.67,9.0,34.28927310824678,65.71072689175321
1025.0,0.0,-1.0,-1.0,-1.0,-1.34,0.8,1.0,-6.67,59.851557699315215,40.148442300684785
6935.0,0.0,0.0,0.0,0.0,9.2,4.7,5.5,5.5,91.08366249910308,8.916337500896915
-1072.0,2.0,1.0,0.0,1.0,-1.0,2.0,-3.0,2.1,36.51643846955664,63.48356153044336
-3679.0,-2.0,-1.0,2.0,-5.0,-5.67,1.67,-0.8,4.33,24.491448952908186,75.50855104709181
-8033.0,-1.0,1.0,2.0,-5.4,-5.8,-4.9,-2.0,-3.5,4.1156377377915,95.8843622622085
-4085.0,0.0,1.0,0.0,0.0,-2.5,1.0,-0.5,-1.53,15.074235300107516,84.92576469989248
-1718.0,2.0,1.0,1.0,3.75,-1.34,3.75,-6.0,-5.33,35.07596007308729,64.92403992691271
15987.0,1.0,-1.0,-5.0,7.0,7.0,3.0,11.67,7.83,99.5237467729252,0.4762532270748068
-4475.0,-2.0,-2.0,0.0,-0.5,-8.0,0.0,-0.33,-0.8300000000000001,23.306452429070106,76.6935475709299
-3324.0,0.0,1.0,0.0,-1.0,-6.0,3.0,-0.5,5.0,17.999672571921653,82.00032742807835
-14936.0,-1.0,1.0,5.0,-2.75,-9.67,-1.0,-11.25,-6.17,0.6206531364562715,99.37934686354373
3320.0,2.0,-1.0,-1.0,1.0,-1.0,0.5,1.0,3.5,79.7836112502601,20.216388749739906
8547.0,0.0,-1.0,-2.0,0.1999999999999999,12.33,4.33,3.5,1.75,95.19902630791185,4.800973692088149
1051.0,0.0,-1.0,1.0,0.5,1.83,4.0,-0.25,3.5,67.20389396908153,32.796106030918466
-3706.0,2.0,-1.0,0.0,2.5,-0.3999999999999999,1.17,-2.73,-8.25,31.291385599667638,68.70861440033237
2857.0,2.0,1.0,-2.0,0.0,4.0,4.4,-0.83,0.1699999999999999,64.29741012426614,35.702589875733864
-4449.0,1.0,2.0,1.0,-2.0,0.1699999999999999,-3.0,-5.33,-6.6,11.182516521118746,88.81748347888126
-4609.0,-2.0,0.0,1.0,2.0,-4.0,3.0,-4.0,-4.67,16.447431593475496,83.5525684065245
6950.0,2.0,2.0,-1.0,1.33,5.0,-2.5,2.0,6.75,84.5960791512595,15.403920848740498
-3073.0,-2.0,1.0,0.0,-0.6699999999999999,-3.0,-5.0,0.0,-0.5,16.371774657730086,83.62822534226991
5556.0,-1.0,-2.0,0.0,0.0,10.0,1.0,4.5,10.5,91.61816482670051,8.381835173299493
4973.0,0.0,0.0,-1.0,5.75,4.0,1.83,1.83,3.0,83.95841244920717,16.041587550792826
-2715.0,0.0,1.0,1.0,3.75,-2.5,-3.67,-1.0,2.5,24.390495345690212,75.60950465430979
78.0,-2.0,-1.0,0.0,-1.0,0.0,0.0,2.0,2.0,51.705276120188124,48.294723879811876
-10579.0,-1.0,-1.0,3.0,-0.75,-3.75,0.3299999999999999,-10.0,-2.5,4.307202262874029,95.69279773712597
-2347.0,0.0,0.0,2.0,1.25,0.0,-1.0,-2.5,-3.0,34.09120572097226,65.90879427902775
-7617.0,0.0,0.0,2.0,2.5,-1.33,-5.33,-7.0,-2.0,8.427809948866964,91.57219005113303
-12720.0,-1.0,1.0,3.0,-3.5,-10.0,0.0,-7.25,-1.92,1.0657980562033862,98.93420194379661
2791.0,2.0,-1.0,-1.0,6.5,5.5,-1.67,0.5,3.0,80.34013493332154,19.659865066678464
5934.0,0.0,-2.0,-1.0,1.04,7.0,1.5,-1.5,1.25,92.06880944966491,7.931190550335089
-1493.0,0.0,2.0,0.0,5.0,-1.5,-1.25,-2.0,-3.5,25.36657283532257,74.63342716467743
-1157.0,2.0,1.0,0.0,0.0,-8.67,0.5,-3.9,-10.25,32.06259401440975,67.93740598559026
-373.0,1.0,-1.0,0.0,-2.5,1.0,-1.0,4.5,4.5,53.19090329556927,46.80909670443073
-4024.0,0.0,1.0,-1.0,0.33,-10.0,-1.92,-4.8,-7.0,12.62399588298042,87.37600411701958
-1342.0,-2.0,-1.0,3.0,-0.66,1.0,-3.75,5.67,5.0,47.109429835428465,52.890570164571535
-1163.0,0.0,1.0,0.0,-3.0,-1.5,-1.0,0.0,0.0,29.45902114450081,70.54097885549919
-3656.0,1.0,1.0,1.0,0.6699999999999999,-7.6,-2.0,-2.25,-0.75,18.232494518859234,81.76750548114077
147.0,0.0,1.0,-1.0,-2.67,-5.5,-1.0,2.0,2.5,36.22437662567015,63.77562337432985
3243.0,2.0,1.0,-3.0,-0.6699999999999999,0.5,-0.5800000000000001,-2.33,-4.0,62.267947375354304,37.732052624645696
-98.0,2.0,2.0,0.0,-0.83,5.0,-4.0,-0.0699999999999998,-2.0,35.97072941614341,64.02927058385659
6625.0,1.0,-2.0,-1.0,7.0,7.0,0.0,5.5,7.67,94.97985022940584,5.020149770594159
8091.0,1.0,0.0,-3.0,-2.83,1.58,0.5800000000000001,6.71,13.0,91.09180967529298,8.908190324707022
863.0,-2.0,-1.0,1.0,-1.27,0.5,2.0,-4.0,-0.33,59.85027647349913,40.14972352650087
4834.0,2.0,0.0,-1.0,-0.33,6.0,1.9,0.0,2.0,83.35776148025548,16.642238519744524
645.0,-2.0,-1.0,1.0,0.5800000000000001,-1.0,5.0,0.4000000000000001,3.0,60.2026415122235,39.7973584877765
-1398.0,0.0,1.0,0.0,1.0,-2.67,-1.0,-8.0,-3.0,29.14941738049619,70.85058261950381
851.0,0.0,1.0,-1.0,-0.3299999999999999,-7.5,2.0,-0.1,-0.7999999999999999,42.85498147661294,57.14501852338706
996.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.2,8.25,65.34569011162752,34.65430988837248
-1956.0,0.0,0.0,0.0,-1.17,-2.4,3.5,1.33,-0.33,32.23331374970964,67.76668625029036
2683.0,2.0,1.0,0.0,1.5,-2.0,0.0,-3.67,0.0,65.20261993726623,34.797380062733765
381.0,-2.0,-2.0,0.0,-1.0,1.5,1.0,-0.33,-4.0,61.49322156449318,38.50677843550682
-2938.0,0.0,1.0,1.0,1.5,1.83,3.0,-4.67,-3.5,23.498218749676894,76.5017812503231
3493.0,0.0,1.0,0.0,-3.5,-1.0,1.0,-1.0,2.5,65.39992051520962,34.600079484790385
-2900.0,-2.0,-1.0,0.0,-2.0,1.5,4.0,-1.67,-2.83,29.18437478141056,70.81562521858945
5161.0,0.0,0.0,0.0,-1.0,3.0,0.5800000000000001,2.75,5.0,83.26067978970711,16.739320210292888
5910.0,2.0,1.0,-1.0,10.4,3.0,-1.0,2.2,1.0,86.90143751597152,13.098562484028477
-3805.0,0.0,0.0,0.0,-1.0,-9.33,-6.0,2.17,-4.5,18.066055719040662,81.93394428095934
-3358.0,2.0,2.0,-1.0,-1.0,-9.5,-0.33,-0.5,-2.0,13.51107514174689,86.48892485825311
-1634.0,2.0,-2.0,0.0,2.0,0.5,-4.75,-5.25,-2.75,53.2046112471448,46.7953887528552
-858.0,0.0,1.0,0.0,0.83,2.34,0.0,0.92,-2.4,34.997919989853656,65.00208001014634
-160.0,0.0,-1.0,-1.0,-0.33,0.25,-1.17,-0.33,-3.66,51.045447684709046,48.954552315290954
1292.0,0.0,-1.0,0.0,6.83,-1.0,-1.0,0.7,-2.5,68.69535770379278,31.30464229620722
1500.0,1.0,0.0,-1.0,-2.0,2.33,-0.8,0.0,-5.0,58.18460732679633,41.81539267320367
