,gold_difference,team_win,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp
922,-6242.0,0,-1.0,1.0,-1.0,-6.33,-4.33,2.5,0.3399999999999998
923,3369.0,1,-1.0,0.0,-0.3299999999999999,3.0,3.67,-1.25,-2.5
924,-1255.0,0,1.0,2.0,0.0,0.0,0.33,5.75,4.5
925,-3656.0,0,2.0,1.0,-4.0,1.0,0.83,1.5,-2.17
926,3932.0,1,2.0,-1.0,7.0,0.1699999999999999,6.67,-6.0,-6.0
927,541.0,0,-2.0,2.0,-1.5,-1.25,6.5,3.33,7.5
928,2161.0,1,-2.0,-1.0,-1.0,1.0,-2.0,0.5,-3.0
929,7563.0,1,1.0,-2.0,-3.67,5.0,2.0,4.0,3.5
930,2746.0,1,2.0,-1.0,-1.33,3.0,0.8300000000000001,3.5,-0.1699999999999999
931,407.0,0,0.0,0.0,-0.3299999999999999,-2.0,-1.33,0.5,1.5
932,2271.0,1,-1.0,0.0,-2.67,0.0,-3.25,5.0,1.5
933,-3590.0,0,1.0,0.0,1.0,-5.75,-6.0,2.0,1.5
934,-4106.0,0,-1.0,1.0,1.0,0.0,-3.0,-1.0,-1.0
935,1890.0,1,-1.0,-1.0,-1.5,4.5,2.0,1.75,-1.0
936,4463.0,1,1.0,-2.0,-3.0,6.75,3.5,5.0,5.3
937,2667.0,1,-2.0,-1.0,-0.5,-1.0,1.5,3.17,0.5
938,-7276.0,0,1.0,3.0,-3.21,0.0,-0.5,-2.0,-1.33
939,-4703.0,1,1.0,0.0,1.5,-4.33,-4.5,-3.0,1.5
940,3093.0,1,-2.0,0.0,1.0,6.0,2.0,-2.0,-1.5
941,3664.0,1,0.0,-2.0,-0.25,2.83,-1.33,7.67,10.25
942,-3823.0,0,2.0,1.0,4.67,-2.25,-1.5,-1.97,-13.83
943,-1739.0,1,0.0,0.0,-3.5,0.0,1.0,0.0,2.0
944,-12333.0,0,2.0,2.0,-3.0,-7.83,-5.33,-10.33,-5.17
945,-2859.0,0,-1.0,0.0,-0.83,-4.0,-4.0,-2.0,-3.0
946,1736.0,1,0.0,0.0,0.83,7.0,-3.67,1.0,2.9
947,-424.0,1,1.0,0.0,-2.67,0.0,0.33,0.0,0.0
948,3872.0,1,0.0,0.0,1.33,3.0,3.0,0.5,5.33
949,2179.0,0,0.0,0.0,1.25,-2.67,0.0,-2.0,-1.0
950,1302.0,1,0.0,-1.0,2.0,1.0,1.0,-3.5,-0.33
951,-1084.0,0,0.0,0.0,2.0,-0.5,3.0,-1.33,-0.3399999999999998
952,-5419.0,0,2.0,0.0,-2.67,-7.0,-4.17,-4.0,-10.5
953,-5575.0,0,0.0,2.0,1.83,-1.67,-2.5,-7.8,-3.33
954,1251.0,0,1.0,-1.0,0.5,-8.86,-3.0,2.33,-5.0
