link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
/match/tr/1401526104,Ornn,Mordekaiser,Lillia,Ekko,Qiyana,Talon,Caitlyn,Aphelios,Senna,Yuumi,1.0,1.5,1.67,8.0,2.0,1.0,1.0,2.5,2.5,5.0,-2409.0,0.0,0.0,0.0,0.0,0,1,blue
/match/tr/1401433553,Aatrox,Riven,Kayn,Diana,Ahri,Sivir,Varus,Veigar,Ashe,Karma,2.5,4.0,3.33,1.33,1.5,1.5,8.0,0.43,6.0,1.0,988.0,1.0,0.0,0.0,1.0,1,1,blue
/match/tr/1401435093,Riven,Jinx,Kai'Sa,Sylas,Olaf,Lillia,Lissandra,Darius,Senna,Lulu,6.0,1.0,2.0,1.0,1.0,1.33,0.67,2.0,3.0,1.0,1500.0,1.0,0.0,0.0,0.0,1,1,red
/match/tr/1401422079,Olaf,Dr. Mundo,Kayn,Kindred,Anivia,Xerath,Ashe,Kai'Sa,Braum,Sona,0.4,7.0,1.6,2.0,0.4,10.0,4.0,0.0,4.0,1.0,-5389.0,2.0,0.0,1.0,0.0,0,2,red
/match/tr/1401409640,Fizz,Veigar,Viego,Sion,Jinx,Shyvana,Lulu,Blitzcrank,Vladimir,Ezreal,6.0,0.0,4.0,0.0,2.0,1.0,1.5,2.0,1.0,0.0,3508.0,0.0,0.0,0.0,1.0,0,1,red
/match/tr/1403552585,Singed,Nasus,Ekko,Bel'Veth,Qiyana,Lux,Xayah,Jinx,Thresh,Rakan,3.0,1.5,2.33,0.5,9.0,0.0,10.0,0.0,10.0,0.0,11486.0,0.0,3.0,0.0,1.0,2,0,blue
/match/tr/1403545864,Mordekaiser,Kennen,Hecarim,Nasus,Pantheon,Graves,Ashe,Ezreal,Gragas,Blitzcrank,1.0,2.0,1.0,5.0,0.5,1.0,0.0,6.0,0.0,5.0,-6789.0,1.0,0.0,2.0,0.0,1,0,red
/match/tr/1403543083,Fiora,Akshan,Rek'Sai,Hecarim,Vex,Irelia,Jinx,Ezreal,Lulu,Lux,2.0,0.67,15.0,0.75,2.33,0.6,4.67,0.67,7.5,0.8,9138.0,0.0,1.0,0.0,2.0,1,0,blue
/match/tr/1403535499,Aatrox,Akshan,Amumu,Jarvan IV,Viktor,Urgot,Varus,Zeri,Thresh,Yuumi,0.75,2.5,3.33,2.0,0.5,3.5,3.67,1.6,2.5,2.33,-3305.0,1.0,1.0,0.0,1.0,0,1,red
/match/tr/1403523475,Kayn,Neeko,Vex,Evelynn,Riven,Zed,Vladimir,Jinx,Senna,Karma,5.0,2.5,2.5,1.5,1.5,0.5,1.0,0.0,4.0,2.0,2200.0,0.0,0.0,0.0,0.0,0,0,blue
/match/tr/1403716525,Graves,Camille,Jax,Nunu & Willump,Sylas,Irelia,Jinx,Draven,Leona,Pyke,2.33,1.17,1.33,1.25,4.0,1.0,1.25,3.33,1.0,12.0,-1684.0,1.0,1.0,0.0,1.0,2,0,red
/match/tr/1403718342,Shen,Jax,Shaco,Blitzcrank,Veigar,Yone,Vayne,Kai'Sa,Lulu,Viego,5.0,0.5,4.5,3.0,3.5,0.2,4.0,4.0,1.0,2.0,269.0,0.0,0.0,1.0,0.0,0,1,red
/match/tr/1403714601,Gangplank,Riven,Gragas,Master Yi,Lissandra,Orianna,Jinx,Xayah,Milio,Leona,1.0,1.5,2.0,6.0,0.0,5.0,1.0,3.0,2.0,1.0,-5448.0,1.0,0.0,1.0,0.0,0,2,red
/match/tr/1403712693,Nasus,Darius,Lee Sin,Master Yi,Jayce,Singed,Kai'Sa,Ezreal,Lulu,Janna,1.0,1.33,1.5,0.83,4.0,2.5,3.5,1.0,6.5,2.0,2813.0,0.0,1.0,2.0,0.0,0,2,blue
/match/tr/1403714070,Sett,Illaoi,Ekko,Diana,Jhin,Yasuo,Pantheon,Ezreal,Sona,Lux,4.0,0.2,12.0,0.67,0.33,9.0,8.0,0.2,0.67,3.0,1148.0,0.0,1.0,1.0,1.0,2,0,blue
/match/tr/1401364119,Pantheon,Gnar,Sylas,Gragas,Syndra,Jayce,Ashe,Samira,Lulu,Rakan,1.5,3.0,2.33,1.0,5.0,0.5,7.0,0.33,7.0,4.0,5161.0,0.0,2.0,1.0,0.0,1,0,red
/match/tr/1401356773,Darius,Sett,Fiddlesticks,Nidalee,Pantheon,Talon,Senna,Jinx,Taliyah,Bard,1.0,0.33,2.0,2.33,0.67,6.0,1.67,3.5,5.0,2.5,-1948.0,0.0,0.0,0.0,0.0,0,1,red
