gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
-3973.0,0,0,1.0,1.0,-1.5,0.0,-1.5,-3.0,-3.0,-1.0,0.0,-0.1200000000000116
5739.0,1,0,-1.0,0.0,1.5,6.25,6.0,2.0,2.5,0.0,0.0,-11.429999999999986
1185.0,1,-1,-1.0,0.0,-1.33,0.5,4.0,2.0,1.0,0.0,-2.0,-5.729999999999961
-563.0,1,2,-1.0,0.0,0.0,2.0,3.5,-2.33,-1.75,1.0,1.0,-3.5200000000000244
847.0,1,0,-1.0,0.0,-0.33,-3.3,-2.17,1.67,10.33,-3.0,-1.0,4.319999999999943
2737.0,0,2,0.0,0.0,1.25,3.5,0.25,4.0,10.0,-3.0,-1.0,-38.870000000000005
562.0,0,2,1.0,0.0,2.0,-2.67,-0.6699999999999999,-1.0,-2.0,-1.0,-1.0,-31.60000000000001
10678.0,1,1,-2.0,-3.0,7.0,6.7,5.0,10.4,13.33,0.0,0.0,13.039999999999978
1949.0,1,2,-1.0,0.0,1.0,-1.5,-0.5,-3.0,-1.0,2.0,1.0,11.799999999999995
-132.0,1,0,-2.0,0.0,-1.0,3.67,5.0,-0.33,-3.4,1.0,-1.0,-9.399999999999991
293.0,1,0,2.0,-1.0,2.67,-4.0,0.0,2.75,2.0,1.0,0.0,21.519999999999985
-2229.0,0,0,0.0,0.0,-2.0,-1.0,-1.25,7.2,0.0,1.0,0.0,29.090000000000018
9972.0,1,1,-2.0,-2.0,-0.3299999999999999,9.5,2.9,10.5,8.33,0.0,0.0,-11.309999999999988
8056.0,1,0,-1.0,-2.0,14.33,-0.33,3.25,7.5,7.5,-2.0,-1.0,16.57000000000002
-1129.0,0,2,2.0,0.0,1.5,-4.25,-6.0,1.0,0.75,-1.0,-2.0,-6.030000000000001
8155.0,1,2,-1.0,-1.0,2.5,4.5,-1.0,2.0,5.67,1.0,1.0,10.070000000000014
-2223.0,0,0,-2.0,0.0,-5.75,1.17,-2.7,5.67,0.8,-1.0,1.0,-60.030000000000015
10189.0,1,1,-1.0,-1.0,0.0,8.5,4.0,0.5,1.0,0.0,-1.0,8.449999999999982
7077.0,1,2,1.0,-1.0,0.5,2.5,-1.4,10.33,7.25,-2.0,-2.0,0.1500000000000128
11322.0,1,2,-2.0,-1.0,4.75,5.0,1.67,3.33,9.83,1.0,-1.0,18.020000000000024
3662.0,1,1,-2.0,0.0,2.0,5.0,1.0,2.0,2.67,-2.0,1.0,25.27999999999996
-6496.0,0,-2,2.0,1.0,-2.0,-1.5,-6.0,1.0,0.0,-1.0,-1.0,-4.990000000000023
-2972.0,1,-2,-1.0,1.0,0.0,-2.0,-0.58,-0.33,2.75,1.0,1.0,-15.18999999999999
-4655.0,0,-1,-1.0,2.0,-2.25,5.67,-5.5,3.5,-0.5,0.0,0.0,-52.68999999999999
-5448.0,1,-1,1.0,1.0,3.0,-4.33,-1.83,-7.0,-9.0,0.0,2.0,-14.679999999999986
5296.0,1,2,1.0,-1.0,5.0,4.0,6.8,1.67,5.0,0.0,0.0,-7.219999999999985
-2382.0,0,-2,2.0,0.0,-4.67,-1.0,-4.5,0.0,-4.0,3.0,0.0,66.72000000000003
-1322.0,0,-2,-1.0,1.0,-0.7,8.75,6.5,4.0,7.75,3.0,1.0,-14.43
-1804.0,1,2,0.0,1.0,-0.5,1.33,4.0,-1.5,-8.4,-1.0,1.0,0.8900000000000006
9217.0,1,2,0.0,-2.0,6.0,-4.0,-2.17,7.5,8.0,0.0,1.0,16.99000000000003
1488.0,1,0,-1.0,0.0,-1.5,-2.0,-3.0,3.2,-0.5,0.0,-1.0,11.929999999999986
6299.0,1,1,-1.0,-1.0,3.71,2.0,3.67,0.4199999999999999,-3.0,1.0,0.0,38.78999999999998
-1795.0,0,0,1.0,1.0,-0.25,-5.8,0.33,-4.17,1.5,2.0,-1.0,3.850000000000009
-1614.0,0,-2,-1.0,1.0,-4.8,-12.5,0.0,1.73,-2.0,-3.0,-1.0,11.060000000000016
-174.0,1,2,-1.0,0.0,-1.6,-0.5,3.0,2.0,-2.0,-2.0,1.0,-9.86999999999999
7633.0,1,2,-2.0,-1.0,-1.33,9.67,7.5,2.33,7.0,-2.0,-1.0,26.92999999999998
1097.0,0,2,1.0,-1.0,2.0,-3.0,-3.33,0.33,-2.0,-1.0,0.0,11.670000000000002
1248.0,1,0,1.0,0.0,1.25,8.75,4.0,2.83,7.0,1.0,1.0,8.129999999999988
142.0,1,0,-2.0,0.0,-1.0,4.0,2.67,0.0,-3.0,0.0,0.0,-19.349999999999994
1734.0,1,0,0.0,0.0,3.0,3.0,1.0,3.5,0.0,0.0,1.0,-19.580000000000013
-4457.0,0,-2,1.0,1.0,-3.07,-4.0,-8.0,5.33,3.75,-1.0,-1.0,-9.500000000000009
-1155.0,1,2,1.0,0.0,-1.0,-6.0,-0.83,0.0,-5.67,0.0,1.0,4.6200000000000045
-9019.0,0,-1,1.0,4.0,-1.27,2.0,-1.0,-3.75,-5.0,1.0,0.0,-1.839999999999968
