link,gold_difference_at_20_minutes,turret_difference_at_20_minutes,dragon_difference_at_20_minutes,Team_Win,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,herald_difference_at_20_minutes
/match/eune/3358983571,2131.0,1.0,1.0,blue,3.5,2.33,2.67,2.67,3.0,2.67,1.33,5.5,1.25,10.0,2
/match/eune/3358979781,-1809.0,0.0,-1.0,red,2.8,4.0,1.57,6.5,1.25,1.71,3.0,1.0,1.75,2.0,1
/match/eune/3358970043,3942.0,2.0,3.0,blue,5.0,1.0,2.33,1.0,8.0,6.0,1.0,1.25,8.0,2.0,-1
/match/eune/3358974321,3370.0,2.0,0.0,blue,3.0,1.8,6.5,1.25,0.4,2.0,2.75,1.6,2.0,3.67,-1
/match/eune/3358967837,-5222.0,-2.0,-2.0,red,1.0,6.0,3.4,2.0,2.83,1.86,1.62,1.71,1.36,4.0,0
/match/eune/3358975190,5772.0,1.0,0.0,blue,1.33,4.0,8.5,0.86,2.5,1.17,3.33,0.75,3.0,9.0,-1
/match/eune/3358964064,-4106.0,-3.0,-2.0,red,2.33,0.25,2.8,21.0,2.75,2.67,2.0,2.75,2.4,3.0,-2
/match/eune/3358961690,5823.0,0.0,-1.0,blue,12.0,1.25,1.67,1.25,5.67,3.33,16.0,0.88,10.5,0.62,-1
/match/eune/3358955822,-8117.0,-6.0,-2.0,red,0.67,5.0,3.5,4.0,1.33,1.67,3.5,5.0,1.25,2.0,-1
/match/eune/3358958551,-10368.0,-4.0,0.0,red,1.6,3.5,1.0,3.0,1.25,3.2,2.33,3.5,2.0,5.0,-2
/match/eune/3358959358,11264.0,3.0,0.0,blue,5.0,0.5,12.0,0.71,2.0,0.8,2.67,1.44,1.57,4.0,2
/match/eune/3358954403,1329.0,1.0,-1.0,red,1.0,1.0,2.0,1.6,0.67,3.0,1.5,1.67,1.5,6.0,2
/match/eune/3358951429,2209.0,0.0,1.0,blue,6.0,0.17,1.43,1.2,1.67,3.75,6.0,3.5,2.75,1.2,2
/match/eune/3358949259,132.0,1.0,-3.0,red,7.0,0.17,3.0,3.0,1.0,4.0,1.0,4.0,4.0,3.5,2
/match/eune/3358944565,4078.0,-1.0,2.0,blue,1.0,2.0,11.0,1.5,1.0,1.0,0.5,1.0,4.0,0.0,-1
/match/eune/3358943536,2533.0,2.0,-2.0,red,0.5,1.0,2.0,8.0,1.33,3.5,0.75,4.0,4.0,1.0,1
/match/eune/3358939492,-4141.0,-3.0,1.0,red,1.25,1.5,1.8,4.67,0.8,6.5,1.6,1.25,2.0,1.2,0
/match/eune/3358933830,-3677.0,-2.0,-3.0,red,1.5,1.0,3.0,2.25,2.2,2.5,1.33,1.67,4.0,2.67,0
/match/eune/3358935398,5489.0,4.0,2.0,blue,1.75,7.0,4.0,2.25,0.67,1.0,7.0,1.0,3.0,1.17,2
/match/eune/3358923886,-3873.0,-2.0,1.0,red,3.33,1.0,1.33,3.0,2.5,4.0,1.2,2.75,1.2,5.0,-1
/match/eune/3358931365,-201.0,-1.0,2.0,blue,2.33,2.2,1.75,1.5,1.5,4.0,1.2,2.67,2.33,3.0,2
/match/eune/3358916012,-7800.0,-4.0,0.0,red,8.0,0.8,0.6,2.67,0.67,2.0,0.83,4.5,3.0,4.0,0
/match/eune/3358916914,-12782.0,-4.0,-2.0,red,1.25,2.0,0.14,2.33,1.2,5.5,0.5,15.0,0.6,7.5,-2
/match/eune/3358915953,-1333.0,3.0,-2.0,red,2.0,2.5,2.0,1.5,0.4,12.0,1.33,2.5,1.0,4.5,2
/match/eune/3358920269,-17.0,-1.0,2.0,blue,2.0,2.0,5.0,1.0,8.0,0.4,2.0,1.0,0.33,5.0,-2
/match/eune/3358912744,-2199.0,2.0,1.0,blue,1.29,4.0,1.29,1.17,0.0,10.0,2.0,6.0,0.5,3.0,1
/match/eune/3358914575,937.0,1.0,-2.0,blue,4.0,0.88,3.2,3.25,1.29,1.5,2.0,2.75,2.0,2.6,-2
/match/eune/3358913290,5084.0,2.0,1.0,blue,2.0,1.2,2.4,4.33,1.75,0.83,6.5,0.33,6.5,1.8,0
/match/eune/3358901029,3337.0,2.0,1.0,blue,1.67,0.8,3.67,2.67,3.0,0.14,8.0,2.0,4.0,3.5,2
/match/eune/3358901817,4197.0,1.0,0.0,blue,0.33,10.0,1.33,2.0,4.25,0.83,8.5,1.29,1.5,1.86,-1
/match/eune/3358892600,5821.0,4.0,0.0,blue,5.0,0.75,5.0,1.2,6.0,1.25,3.0,1.5,4.5,1.2,-2
/match/eune/3358899159,-3982.0,-2.0,-1.0,red,1.0,0.8,6.0,7.0,1.0,0.0,0.4,4.5,0.8,5.5,1
/match/eune/3358876639,-1921.0,0.0,-3.0,red,1.0,5.5,4.0,4.33,1.4,1.86,2.0,1.0,1.29,6.0,0
/match/eune/3358867932,7199.0,1.0,3.0,blue,4.5,0.5,6.0,0.17,6.0,0.6,3.5,1.25,2.0,2.67,2
/match/eune/3358874482,2445.0,1.0,0.0,red,1.5,2.0,1.83,3.0,2.0,1.0,7.0,1.67,8.0,1.8,0
