gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
2660.0,1,0,0.0,-1.0,0.0,1.67,2.5,2.0,4.75,-1.0,1.0
-509.0,1,2,-1.0,0.0,-2.33,-3.75,-2.5,3.5,2.0,2.0,-1.0
583.0,1,2,0.0,0.0,-1.0,-3.0,-5.0,-1.67,-4.5,-2.0,-1.0
-1272.0,0,0,-2.0,2.0,6.75,6.5,8.0,-1.4,3.3,1.0,1.0
2085.0,0,0,-1.0,1.0,-1.5,2.0,3.33,8.0,6.0,1.0,0.0
-5901.0,0,0,1.0,0.0,-7.0,-7.5,-0.5,-1.36,-7.5,-1.0,-1.0
3491.0,0,2,0.0,-1.0,0.25,-3.5,-1.5,5.1,4.0,0.0,-1.0
-1803.0,0,0,2.0,0.0,-2.17,-3.0,-6.33,-0.5,-4.25,1.0,0.0
1471.0,1,2,1.0,-1.0,3.75,-1.83,-2.33,-1.0,3.0,0.0,-1.0
-509.0,0,0,1.0,0.0,0.0,0.92,-1.5,2.0,0.0,1.0,0.0
-1070.0,0,0,1.0,0.0,1.0,-10.5,-8.4,-4.17,-2.0,1.0,-1.0
1163.0,0,1,2.0,-1.0,6.0,-0.5,1.75,-5.0,-5.0,-1.0,0.0
-1562.0,0,-2,2.0,0.0,0.0,-1.08,-3.0,2.6,5.75,-1.0,-1.0
-8392.0,0,-1,1.0,1.0,0.25,-4.8,-1.0,-6.75,-9.4,0.0,-1.0
-3385.0,1,2,1.0,0.0,-0.3299999999999999,-10.33,-4.5,-1.0,-0.5,0.0,1.0
3111.0,0,-2,-1.0,0.0,1.5,7.0,4.0,2.5,1.33,2.0,-1.0
-1527.0,0,-2,2.0,1.0,1.33,2.0,1.0,-6.0,-1.0,0.0,1.0
7903.0,1,1,-2.0,-3.0,0.5,8.5,0.5,4.67,6.33,0.0,0.0
3050.0,1,0,-2.0,0.0,-4.8,0.6699999999999999,-0.5,5.33,2.2,-1.0,-1.0
6558.0,1,-2,-1.0,-1.0,2.0,11.0,7.0,7.0,7.0,2.0,0.0
-5497.0,1,0,-1.0,1.0,4.6,-7.0,-6.0,-2.67,0.0,-1.0,-1.0
514.0,1,-2,0.0,0.0,0.8300000000000001,-4.0,0.33,-1.0,-2.0,0.0,2.0
5409.0,1,-2,1.0,-1.0,-1.0,1.0,4.67,13.0,1.33,1.0,1.0
844.0,1,-2,-1.0,0.0,1.5,5.33,4.67,-2.67,3.0,0.0,2.0
754.0,1,1,1.0,0.0,-1.0,-3.5,-2.33,1.0,3.0,0.0,0.0
-3862.0,1,-1,-1.0,0.0,1.0,-2.5,-1.17,-2.0,-2.5,0.0,1.0
-4910.0,0,0,2.0,1.0,4.8,-1.17,-0.8300000000000001,-5.5,-3.5,0.0,0.0
1527.0,0,-2,1.0,0.0,0.5,3.5,1.5,9.0,4.0,-2.0,0.0
-395.0,0,1,2.0,0.0,0.0,-0.6699999999999999,3.33,-3.83,0.33,0.0,0.0
-8764.0,0,-2,1.0,3.0,-5.71,-7.0,-5.0,-2.0,-8.0,1.0,-1.0
1784.0,0,0,1.0,0.0,-0.5,-0.5800000000000001,3.25,-0.3399999999999998,0.4300000000000001,-1.0,-1.0
-6375.0,0,-2,2.0,1.0,-5.0,-3.33,-1.0,0.75,1.5,1.0,1.0
-533.0,0,2,1.0,0.0,0.83,-1.5,3.67,-7.67,-6.8,-1.0,-1.0
-5575.0,0,-2,0.0,2.0,1.83,-1.67,-2.5,-7.8,-3.33,-3.0,0.0
6251.0,1,0,-1.0,0.0,2.0,2.5,2.17,2.2,-0.6699999999999999,-1.0,1.0
-5288.0,0,0,-1.0,0.0,0.0,-2.67,-2.0,-15.5,-3.92,2.0,1.0
-2601.0,0,-1,1.0,-1.0,1.83,-15.25,-8.0,-3.0,-1.67,1.0,0.0
-11104.0,0,-2,1.0,3.0,-7.0,-7.75,1.0,-0.5,-10.8,-3.0,0.0
-194.0,1,2,-1.0,0.0,-2.0,3.0,6.0,-2.83,-3.1,0.0,2.0
1509.0,1,0,0.0,0.0,1.33,-0.5,0.0,4.17,2.33,2.0,1.0
-7544.0,0,-2,1.0,1.0,0.83,-2.67,-7.4,-2.75,-8.33,-1.0,1.0
6560.0,1,2,-2.0,-2.0,3.2,1.92,4.4,2.83,4.67,1.0,0.0
2883.0,1,0,0.0,1.0,-4.75,2.33,5.5,3.33,5.67,0.0,-1.0
6419.0,1,2,-1.0,-2.0,6.67,3.42,4.33,0.6600000000000001,3.8,1.0,0.0
12353.0,1,-1,-2.0,-4.0,3.8,7.2,5.25,8.5,15.43,0.0,2.0
309.0,1,-2,1.0,1.0,0.0,1.33,4.0,-2.1,5.75,-1.0,0.0
2646.0,1,0,0.0,0.0,1.33,4.75,2.0,-4.0,-1.25,3.0,0.0
-825.0,0,0,1.0,0.0,-3.5,-1.0,-6.33,-2.5,-6.0,-2.0,0.0
-2424.0,0,2,1.0,1.0,-1.83,0.33,-4.67,0.1699999999999999,-4.0,1.0,-1.0
2699.0,1,0,2.0,0.0,-1.0,-0.6699999999999999,-3.0,-0.8300000000000001,2.4,-1.0,1.0
-11218.0,0,-1,-1.0,4.0,-1.75,-4.0,-5.67,-4.8,-1.5,0.0,1.0
-1940.0,1,0,-1.0,1.0,-2.25,-0.33,-2.0,-0.6600000000000001,0.5,1.0,-1.0
255.0,1,1,0.0,0.0,1.5,-6.5,-1.0,-2.0,-4.0,0.0,0.0
-68.0,0,0,2.0,1.0,-4.8,5.5,1.75,1.6,0.17,-1.0,-1.0
-2122.0,0,-2,-1.0,0.0,-0.33,-0.25,-4.5,-0.6699999999999999,-1.67,-1.0,0.0
395.0,1,2,-1.0,0.0,-3.0,-5.0,-6.0,4.1,3.5,0.0,0.0
5233.0,1,1,-1.0,0.0,4.75,0.0,-1.5,0.6699999999999999,0.0,0.0,0.0
11121.0,1,2,0.0,-1.0,5.83,10.25,2.15,4.75,9.5,1.0,1.0
1736.0,0,1,-1.0,-1.0,1.5,5.33,-2.33,6.67,6.33,-1.0,-1.0
-28.0,1,0,-2.0,1.0,-2.67,0.0,-2.0,2.83,3.1,3.0,2.0
1648.0,0,-2,-1.0,0.0,6.86,-2.16,2.2,-2.5,4.0,0.0,1.0
-4587.0,1,0,-1.0,2.0,-5.75,-2.25,-5.0,-4.0,-4.0,3.0,1.0
5489.0,1,0,0.0,0.0,-0.3299999999999999,10.0,5.33,3.5,9.25,0.0,-1.0
-3086.0,0,0,-1.0,0.0,-1.5,-7.0,-1.0,0.0,1.17,1.0,-1.0
1672.0,1,2,-1.0,0.0,1.57,6.0,2.83,-1.0,-1.0,0.0,0.0
1219.0,1,0,1.0,-1.0,-0.92,-1.25,-4.5,-7.8,-3.83,-2.0,2.0
-5607.0,0,-2,2.0,1.0,-0.5,-11.2,-3.0,-2.9,-7.0,1.0,0.0
8656.0,1,2,-1.0,-2.0,-4.75,2.71,10.83,9.33,11.33,-1.0,0.0
528.0,1,2,1.0,-1.0,5.8,1.67,3.5,-3.0,-6.33,0.0,0.0
-7468.0,0,1,2.0,2.0,-2.0,0.0,0.0,-5.5,-5.67,-1.0,1.0
-12257.0,0,-1,2.0,4.0,-2.67,-8.0,-6.75,-2.92,-7.2,-2.0,0.0
3490.0,1,1,-1.0,-1.0,-2.5,7.0,7.67,3.0,-1.5,-3.0,1.0
-2863.0,0,-1,1.0,0.0,-4.75,-2.5,-6.0,3.0,3.0,-2.0,-1.0
424.0,1,-1,-2.0,0.0,0.0,2.0,-1.25,0.75,2.27,-1.0,1.0
7710.0,1,2,-1.0,-2.0,3.67,1.0,0.0,4.67,3.67,2.0,1.0
9422.0,1,2,-1.0,-3.0,-0.7,10.25,10.33,1.0,9.33,0.0,0.0
891.0,1,1,0.0,0.0,2.0,8.5,-0.5,2.0,2.17,-1.0,2.0
2116.0,1,-1,-1.0,0.0,3.0,10.4,0.8300000000000001,5.0,2.5,-1.0,-1.0
-5025.0,0,-2,-1.0,2.0,-5.5,-5.5,1.0,-1.0,2.0,-1.0,0.0
2830.0,1,-1,-1.0,0.0,0.3299999999999999,0.0,4.0,2.43,12.2,-1.0,-1.0
-1988.0,1,-2,2.0,1.0,0.0,7.0,-2.0,-2.5,-2.0,1.0,1.0
5175.0,1,0,-1.0,0.0,1.5,2.0,1.33,2.17,5.33,0.0,0.0
3083.0,1,-1,-2.0,0.0,4.0,6.5,8.0,10.5,1.25,-2.0,-1.0
