Unnamed: 0,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
194,1956.0,1,0,-2.0,-1.0,0.5,2.0,-1.5,5.0,7.0,1.0,1.0
4953,4572.0,0,2,-1.0,-2.0,-3.0,4.5,-1.83,6.67,0.5,2.0,-1.0
9557,5949.0,1,2,-2.0,-1.0,-3.0,0.0,3.67,-2.0,0.0,1.0,0.0
3664,2313.0,1,2,-2.0,-1.0,1.5,1.5,-1.4,1.5,-2.5,0.0,0.0
2091,1350.0,1,2,-1.0,-1.0,2.0,-10.75,-6.33,1.54,2.33,3.0,1.0
8006,-1796.0,0,0,-1.0,0.0,0.92,-1.83,0.0,0.6699999999999999,-1.09,3.0,0.0
2778,213.0,1,0,1.0,0.0,0.5,-3.0,0.33,4.5,1.92,-1.0,-1.0
2748,-7168.0,0,-2,-1.0,3.0,-8.0,-8.0,0.0,7.25,7.0,2.0,1.0
1744,-6579.0,0,-2,2.0,1.0,-2.25,-10.67,-7.0,-0.6699999999999999,-2.17,-1.0,0.0
8883,974.0,0,2,2.0,0.0,4.0,-1.0,0.0,-1.0,-1.0,2.0,1.0
7471,-5130.0,0,-2,2.0,1.0,-1.17,2.0,1.0,-4.0,-4.5,2.0,1.0
4378,1168.0,1,1,1.0,0.0,0.0,-3.0,0.5,-3.5,-3.33,-1.0,0.0
8851,-1937.0,0,-2,-1.0,0.0,0.5,1.0,3.0,-0.5,-4.0,2.0,-1.0
4917,-5384.0,0,-2,2.0,0.0,-0.3299999999999999,-6.43,-6.67,-1.25,-1.33,1.0,-1.0
7590,-2320.0,0,2,1.0,-1.0,2.0,-4.25,1.0,-1.33,-1.6,0.0,0.0
8434,-697.0,0,-2,-1.0,0.0,-2.67,2.0,1.0,2.5,3.5,1.0,2.0
3549,-11289.0,0,-2,1.0,2.0,-4.0,-4.0,-5.0,-2.5,-4.33,0.0,1.0
213,-6643.0,0,-2,2.0,1.0,-3.0,-6.0,-1.0,-3.17,-2.25,-2.0,-1.0
5986,3869.0,0,2,1.0,0.0,-1.17,7.0,2.0,5.8,6.0,-1.0,0.0
4507,487.0,0,0,2.0,0.0,-2.0,-2.0,-1.33,-1.5,-2.0,-1.0,-1.0
3186,-7183.0,0,-1,1.0,0.0,-1.67,-6.67,-10.0,-4.0,-2.27,-2.0,0.0
6249,10369.0,1,2,0.0,-1.0,3.0,-1.17,0.8300000000000001,0.3299999999999999,5.5,0.0,1.0
728,2405.0,1,-1,0.0,0.0,0.0,-3.0,4.0,-4.0,-0.3399999999999998,-1.0,0.0
852,-2292.0,0,2,-2.0,0.0,-1.5,-1.0,-1.0,-2.25,-1.0,0.0,0.0
8381,-2914.0,1,0,1.0,1.0,-1.5,3.0,-2.0,1.14,0.33,0.0,-1.0
7379,318.0,0,2,1.0,0.0,1.0,1.83,-1.0,0.5,4.0,1.0,-1.0
6391,4556.0,1,-1,-1.0,0.0,4.8,5.0,1.0,0.6699999999999999,5.0,1.0,0.0
4761,-2011.0,0,-1,1.0,-1.0,2.0,-1.25,-2.17,2.0,-0.1699999999999999,0.0,0.0
2773,3177.0,1,0,-1.0,0.0,-1.5,0.0,1.0,6.0,0.0,-2.0,0.0
4864,7322.0,0,0,1.0,-2.0,10.29,-2.5,0.6600000000000001,0.55,-2.5,1.0,0.0
5295,8019.0,1,0,-1.0,0.0,0.0,8.0,4.5,4.6,10.8,1.0,0.0
9578,-3252.0,1,0,-1.0,0.0,-4.5,-4.6,-6.0,-1.0,-4.6,-1.0,-2.0
9872,-4042.0,0,-2,1.0,1.0,3.67,3.5,1.5,-3.2,-8.0,0.0,0.0
5492,-5599.0,0,0,0.0,0.0,-1.0,-6.5,-0.4199999999999999,2.0,0.0,-2.0,0.0
2489,3222.0,1,2,1.0,-3.0,5.67,0.0,2.5,-6.33,-6.5,-3.0,0.0
5736,-1158.0,0,-2,0.0,0.0,-2.25,-7.5,0.33,2.5,-0.33,1.0,2.0
