sequence_number,team_win,win_prob
2013,1,0.6824556748400811
2019,1,0.8186355102657992
2021,0,0.44652788037470775
2026,1,0.5571787375257898
2030,1,0.907661504882672
2031,1,0.9851863418020923
2037,0,0.7648034776460196
2040,1,0.9918831953541449
2056,0,0.09623345942712203
2068,0,0.500334765681124
2070,1,0.6470594256784439
2073,0,0.7106492489273205
2076,0,0.5769626375174693
2089,1,0.4959719411916916
2099,0,0.010394928331740733
2108,1,0.7287496793470204
2109,1,0.9268931385120545
2110,0,0.012931128864471066
2111,0,0.4864159917665916
2115,1,0.9759039836473581
2120,0,0.17527515078716624
2123,0,0.47371206822740736
2125,0,0.04453917122927427
2128,1,0.2636816043562518
2129,0,0.2219185569503428
2134,1,0.6503831154315829
2139,1,0.09041448644835584
2146,1,0.7201075356110809
2148,0,0.7048917148395387
2150,0,0.6634578787319562
2151,0,0.7138022102715841
2153,0,0.10807649128799535
2158,0,0.09355126944420612
2166,1,0.9880423974680741
2168,0,0.5807001597511564
2169,1,0.9411466628418396
2179,1,0.7695130449433542
2184,1,0.82109662097782
2185,1,0.37300016230443483
2190,0,0.14205172710889774
2192,0,0.1499260188743018
2200,1,0.7523877944873709
2211,0,0.07563574058543322
2214,0,0.29914472209039183
2216,1,0.9302939144361648
2222,1,0.4009566924252205
2226,0,0.5119275770987082
2228,0,0.10036622454803353
2233,0,0.05845524972702071
2234,1,0.4730608931255038
2237,1,0.657534517652896
2240,0,0.38835627375300125
2246,1,0.9139743101636756
2250,1,0.9675475010054678
2253,0,0.04412400187558281
2255,0,0.22101715092457552
2261,0,0.05201030261593081
2271,0,0.31885856673320334
2274,1,0.23233660336130046
2276,1,0.6529027370811572
2287,0,0.10668287510600996
2288,0,0.5917742122728732
2289,0,0.35407771385500664
2292,0,0.5363374181949555
2302,0,0.9088007054109855
2304,1,0.6001514134389335
2305,0,0.47505861370286295
2311,0,0.11150819627566387
2317,1,0.3479068273273954
2320,0,0.17870460108949796
2329,0,0.006671228101619833
2338,1,0.5472888919097643
2341,1,0.45005169677592166
2345,1,0.5638915515528115
2349,1,0.27193161361853097
2361,0,0.02198733128242156
2363,0,0.09624871355569742
2376,0,0.23614711329117352
2378,1,0.0728690813763495
2389,0,0.32456597173824425
2390,1,0.3052742395287233
2393,1,0.4587530585890606
2407,1,0.6976529429988455
2408,1,0.13305427849535598
2418,0,0.43997055256614503
2424,0,0.028173434785103712
2426,1,0.6515217247811449
2448,1,0.8930806066934303
2456,1,0.8028377288056591
2459,0,0.1564179221363716
2465,1,0.8434754453193762
2466,0,0.1689340469083494
2471,1,0.4414872012748388
2474,0,0.19557528973618607
2475,0,0.503921690148772
2484,0,0.3246087740111575
2485,1,0.8506237209225986
2486,0,0.13293755784217995
2487,1,0.3355531210746345
2488,0,0.7032043531565743
2493,0,0.5659078412568386
2499,1,0.7223964608404099
2514,1,0.9753600113183896
2516,0,0.22869376302781666
2517,1,0.2296277432255071
2518,0,0.16527892898320876
2523,0,0.5410766513538041
2524,1,0.08174974718552666
2532,1,0.8158499713520382
2535,0,0.010004191493044889
2541,0,0.7841892258051169
2543,0,0.2686562162352283
2555,1,0.7661901747110249
2565,0,0.4540689146142392
2575,1,0.6308660085600775
2587,1,0.4530811660566208
2589,1,0.7397024494904951
2593,1,0.8397113863014699
2603,0,0.18135593987052592
2612,1,0.272565004526358
2615,0,0.6912607720743651
2616,1,0.9047690693075723
2620,1,0.9551000206549562
2621,1,0.9514662544202015
2626,0,0.333365734858245
2628,1,0.057723285508600654
2649,1,0.7794664535440006
2651,1,0.1926565680913148
2665,1,0.5494237261371806
2674,1,0.12216487018392656
2679,1,0.8041864416364162
2681,0,0.3247640776153463
2685,0,0.6807983958649538
2686,0,0.003462561618003139
2689,1,0.9681603746000853
2690,0,0.06639352606293257
2693,0,0.022942064962384243
2698,0,0.2433132264755692
2699,0,0.30175358321490925
2702,0,0.8789845349920026
2708,1,0.8948561437778326
2725,0,0.13190694215934454
2738,0,0.0902377446516078
2749,0,0.5953771164976883
2752,1,0.66095274597688
2754,0,0.2377698380408972
2755,1,0.9202587853550186
2759,0,0.7322699218066535
2761,0,0.3274890094117682
2767,1,0.7010336354110391
2770,1,0.9685222411563305
2772,1,0.6550905656000295
2778,0,0.5552768431883448
2795,1,0.6625444845499657
2803,0,0.20537862648681066
2808,0,0.6807975965703962
2817,1,0.8687040934789301
2819,1,0.9292753891400825
2821,0,0.15187379057719505
2824,0,0.07125331297313947
2827,1,0.9642577565938404
2834,1,0.3172243611624671
2836,0,0.132204040173218
2849,0,0.6773868112177105
2856,1,0.5179120712030889
2860,1,0.7135667827863654
2865,1,0.9260413968564288
2868,1,0.396168447102872
2871,1,0.8947958693056257
2883,0,0.4516248586894737
2886,0,0.40987595099829977
2887,1,0.9704374754394158
2890,0,0.4758763080652713
2895,1,0.3906725359563811
2904,1,0.7363600216604256
2907,0,0.2709736898291689
2908,1,0.681410562117668
2909,1,0.550543178537687
2911,1,0.3259706345775053
2914,0,0.12966556001652185
2923,0,0.3728815572429076
2927,1,0.9308281462925209
2928,1,0.9128724083895913
2931,0,0.8093499333770391
2944,1,0.2934734639289146
2949,0,0.024687912574181264
2955,1,0.5336538296606688
2956,1,0.23568138756881915
2957,0,0.6937995102706547
2961,1,0.7886888292383308
2964,1,0.8460990746912649
2969,1,0.8757216127087813
2974,1,0.7304889782764937
2983,1,0.9676403197362056
2998,1,0.9595988074806262
3003,1,0.7056826167959024
3007,1,0.9199160913767213
3008,1,0.7613942997465097
3012,1,0.9151991588391875
3013,0,0.09092788287122283
3016,0,0.0940300297050437
3018,0,0.0720439033614609
3019,1,0.7391169176671226
3022,1,0.9377580922847084
3024,0,0.4737694959901719
3026,1,0.6034121826132903
3027,0,0.7243964842071103
